33 0.0002507566076977772 	 0.9999800191815856 	 0.019331558802718973 	 0.99619140625
34 0.00011302375183787609 	 1.0 	 0.016948957869044535 	 0.996484375
35 7.134669035005801e-05 	 1.0 	 0.017488367491512235 	 0.99619140625
36 5.3420494124481275e-05 	 1.0 	 0.01699911953053288 	 0.99658203125
37 4.912418178886713e-05 	 1.0 	 0.01721930190620924 	 0.9962890625
38 4.2832288851812924e-05 	 1.0 	 0.017038043328875575 	 0.996484375
39 4.0546014201180516e-05 	 1.0 	 0.017213966171237872 	 0.996484375
40 3.436487580951684e-05 	 1.0 	 0.017193594593157967 	 0.99658203125
41 3.901579690890362e-05 	 1.0 	 0.017710460357579904 	 0.99619140625
42 3.397027456328412e-05 	 1.0 	 0.017827282335525753 	 0.99619140625
43 3.171762834898965e-05 	 1.0 	 0.017693741755232396 	 0.9962890625
44 3.5357201299088225e-05 	 1.0 	 0.017934869821715438 	 0.996484375
45 3.0342877625863342e-05 	 1.0 	 0.017439761132305876 	 0.9962890625
46 3.076192950668155e-05 	 1.0 	 0.018118010860541746 	 0.9962890625
47 3.274195425844815e-05 	 1.0 	 0.017359550175848427 	 0.9962890625
48 2.5255822085846074e-05 	 1.0 	 0.017872525380090563 	 0.99609375
49 2.8213797177252038e-05 	 1.0 	 0.017772895494471187 	 0.99619140625
50 2.5455275564334097e-05 	 1.0 	 0.018152914762873708 	 0.9962890625
51 2.4405268565256996e-05 	 1.0 	 0.017995790865052187 	 0.99619140625
52 2.3213760935404957e-05 	 1.0 	 0.01740446074526858 	 0.996484375
53 2.1136340114993744e-05 	 1.0 	 0.01828220687769999 	 0.99619140625
54 2.5755816457957506e-05 	 1.0 	 0.01784341835647183 	 0.99638671875
55 2.37125200020387e-05 	 1.0 	 0.017441482921378794 	 0.9962890625
56 1.943245054688379e-05 	 1.0 	 0.017711922391970347 	 0.99638671875
57 2.012267642766744e-05 	 1.0 	 0.0181527861982147 	 0.996484375
58 1.9660089536585792e-05 	 1.0 	 0.018002301474729164 	 0.99658203125
59 1.87420479199939e-05 	 1.0 	 0.017978225059397345 	 0.99658203125
60 1.7785079118948023e-05 	 1.0 	 0.0181403936618608 	 0.99638671875
61 1.778159281989863e-05 	 1.0 	 0.018146415704671882 	 0.99638671875
62 1.851944336784984e-05 	 1.0 	 0.01787212361390402 	 0.99638671875
63 1.8064134485397602e-05 	 1.0 	 0.018023734339067232 	 0.99677734375
64 1.7976089467941833e-05 	 1.0 	 0.017704549517122813 	 0.996484375
65 1.8416059276805613e-05 	 1.0 	 0.01844612758305857 	 0.9962890625
66 1.6204042960029735e-05 	 1.0 	 0.018578221713562472 	 0.99638671875
67 1.5561841919430276e-05 	 1.0 	 0.018346057090542444 	 0.996484375
68 1.537473677437163e-05 	 1.0 	 0.018094817054804934 	 0.99638671875
69 1.8282075989586502e-05 	 1.0 	 0.018286387595986754 	 0.9962890625
70 1.686783710230135e-05 	 1.0 	 0.01808498336708624 	 0.9962890625
71 1.792759831458826e-05 	 1.0 	 0.018594832255234905 	 0.996484375
72 1.4891712726704563e-05 	 1.0 	 0.018572200207904642 	 0.996484375
73 1.3721317731198625e-05 	 1.0 	 0.018682806397765716 	 0.9962890625
74 1.5141343519853926e-05 	 1.0 	 0.018603301896206403 	 0.9962890625
75 1.2445960326500506e-05 	 1.0 	 0.018358173405039223 	 0.996484375
76 1.4870393820239438e-05 	 1.0 	 0.019127938512616537 	 0.99599609375
77 1.346222321767981e-05 	 1.0 	 0.019096212528424417 	 0.996484375
78 1.3322615633252004e-05 	 1.0 	 0.017948519301873488 	 0.99638671875
79 1.2925285523764e-05 	 1.0 	 0.018242662421707224 	 0.99638671875
80 1.2520481458385897e-05 	 1.0 	 0.018390105585893934 	 0.9962890625
81 1.482638085539074e-05 	 1.0 	 0.018656667316187737 	 0.99658203125
82 1.2767041461304469e-05 	 1.0 	 0.018272316264540223 	 0.996484375
83 1.2312462587333286e-05 	 1.0 	 0.018189977494719754 	 0.99638671875
84 1.2356438184394236e-05 	 1.0 	 0.0185226258293568 	 0.996484375
85 1.3627498955850493e-05 	 1.0 	 0.01834401198236151 	 0.99638671875
86 1.174839808172087e-05 	 1.0 	 0.018632306704068922 	 0.9962890625
87 1.132936759612585e-05 	 1.0 	 0.018665779534148896 	 0.996484375
88 1.200818709388413e-05 	 1.0 	 0.019653359887746545 	 0.99658203125
89 1.1745412755788404e-05 	 1.0 	 0.018304889352003785 	 0.99638671875
90 1.0640856125066928e-05 	 1.0 	 0.01869074223164944 	 0.996484375
91 1.235912264261744e-05 	 1.0 	 0.01927900165815686 	 0.996484375
92 1.2015171287458842e-05 	 1.0 	 0.01846438417531715 	 0.996484375
93 1.1812229592364661e-05 	 1.0 	 0.01862871980203238 	 0.9966796875
94 1.0375959615124596e-05 	 1.0 	 0.018695190665044947 	 0.996484375
95 1.044095358124383e-05 	 1.0 	 0.01923001134397282 	 0.99638671875
96 1.1398846164025097e-05 	 1.0 	 0.018314526452238057 	 0.99638671875
97 1.0087849673859602e-05 	 1.0 	 0.01882244240437956 	 0.99658203125
98 1.1017412342208326e-05 	 1.0 	 0.018784978211436966 	 0.99638671875
99 1.0570216047822597e-05 	 1.0 	 0.018365505029890983 	 0.996484375
100 1.0794168939527715e-05 	 1.0 	 0.018484731645460783 	 0.99677734375
101 1.1642648157697845e-05 	 1.0 	 0.018502560785307764 	 0.99658203125
102 8.979453933997275e-06 	 1.0 	 0.018434247064016064 	 0.99658203125
103 1.200335887145641e-05 	 1.0 	 0.01820778674747601 	 0.996484375
104 1.0147991795694157e-05 	 1.0 	 0.018216823072657463 	 0.99638671875
105 8.628630788399927e-06 	 1.0 	 0.01886082579563606 	 0.99677734375
106 9.528080942877203e-06 	 1.0 	 0.018434195808751497 	 0.996484375
107 1.3016382937152825e-05 	 1.0 	 0.018551219340332638 	 0.99677734375
108 9.098904193413317e-06 	 1.0 	 0.018700777367544674 	 0.99677734375
109 9.235333044138609e-06 	 1.0 	 0.018630166769671063 	 0.99638671875
110 8.946048818733383e-06 	 1.0 	 0.018119684784028322 	 0.996484375
111 9.60925911512628e-06 	 1.0 	 0.01930072065301829 	 0.996484375
112 8.783054997826543e-06 	 1.0 	 0.01817045268260813 	 0.9962890625
113 9.545154189091565e-06 	 1.0 	 0.01840282098435182 	 0.99638671875
114 9.256325320759219e-06 	 1.0 	 0.018466748855826155 	 0.99658203125
115 8.81293713506178e-06 	 1.0 	 0.019167992961780556 	 0.99658203125
116 1.0197625944011539e-05 	 1.0 	 0.019827476302208425 	 0.99619140625
117 1.027913369440317e-05 	 1.0 	 0.018878956572842755 	 0.996484375
118 1.0035408408234652e-05 	 1.0 	 0.01859569688270426 	 0.99638671875
119 8.823902033134549e-06 	 1.0 	 0.019097037003743367 	 0.99658203125
120 1.4640366922831256e-05 	 1.0 	 0.018737749107864944 	 0.99658203125
121 9.049283308075739e-06 	 1.0 	 0.01850145201523219 	 0.99658203125
122 1.0004267324765424e-05 	 1.0 	 0.018313791888050445 	 0.996484375
123 9.202142094233082e-06 	 1.0 	 0.018666739353179196 	 0.99658203125
124 8.047868750637158e-06 	 1.0 	 0.01854174899158636 	 0.99658203125
125 7.480860135659235e-06 	 1.0 	 0.019046762125816484 	 0.99638671875
126 8.289655812007059e-06 	 1.0 	 0.018745141518624563 	 0.996484375
127 7.516276073635786e-06 	 1.0 	 0.01892133313116915 	 0.996484375
128 8.005071280971225e-06 	 1.0 	 0.018694855204492454 	 0.996484375
129 8.287407477137258e-06 	 1.0 	 0.01923483785079725 	 0.996484375
130 7.922671675073977e-06 	 1.0 	 0.018743865120038096 	 0.996484375
131 7.637689866401382e-06 	 1.0 	 0.018846286054227335 	 0.99638671875
132 8.177360965230799e-06 	 1.0 	 0.018962591877360067 	 0.99638671875
133 7.16046333455893e-06 	 1.0 	 0.01864773294354336 	 0.99638671875
134 7.524220927385948e-06 	 1.0 	 0.018896318250637024 	 0.9966796875
135 8.073876664618166e-06 	 1.0 	 0.01916276283820082 	 0.99658203125
136 7.037380883024911e-06 	 1.0 	 0.018574166228683 	 0.99638671875
137 8.939432664343477e-06 	 1.0 	 0.019521869531737936 	 0.99638671875
138 6.95890963188992e-06 	 1.0 	 0.01860780067432586 	 0.9962890625
139 8.260985342110038e-06 	 1.0 	 0.018911030926784634 	 0.99638671875
140 7.4842782627307605e-06 	 1.0 	 0.018909105386893544 	 0.99658203125
141 6.9967827015172164e-06 	 1.0 	 0.018166444019678353 	 0.99638671875
142 6.992202420196755e-06 	 1.0 	 0.018684600703676325 	 0.996484375
143 7.12109786989998e-06 	 1.0 	 0.01894244042428852 	 0.996484375
144 7.046915339286644e-06 	 1.0 	 0.01895241862178807 	 0.9962890625
145 6.792653694527176e-06 	 1.0 	 0.018682065645973012 	 0.99638671875
146 6.945053724927635e-06 	 1.0 	 0.019024806998035614 	 0.99638671875
147 7.754172026784603e-06 	 1.0 	 0.019009909656392664 	 0.99658203125
148 7.92736583687777e-06 	 1.0 	 0.01892971332231639 	 0.99638671875
149 7.582109061992326e-06 	 1.0 	 0.018729083727077978 	 0.99638671875
150 6.898926440183871e-06 	 1.0 	 0.019377731898680396 	 0.996484375
151 6.800356982937286e-06 	 1.0 	 0.01879544792122374 	 0.996484375
152 8.04664568960988e-06 	 1.0 	 0.01968764039378641 	 0.996484375
153 6.678218286840239e-06 	 1.0 	 0.018665309131836238 	 0.99638671875
154 7.194948939995858e-06 	 1.0 	 0.018846901750745815 	 0.99638671875
155 6.1632701740994115e-06 	 1.0 	 0.018287293858701047 	 0.996484375
156 6.678593008543181e-06 	 1.0 	 0.018810795075654595 	 0.9962890625
157 6.728777403481208e-06 	 1.0 	 0.019035222260333738 	 0.99658203125
158 6.235704595127272e-06 	 1.0 	 0.01937743197802604 	 0.9962890625
159 6.312943929582769e-06 	 1.0 	 0.018670410098604862 	 0.99619140625
160 8.296257038820883e-06 	 1.0 	 0.019096645977981552 	 0.9966796875
161 5.980010114445714e-06 	 1.0 	 0.018657068245747154 	 0.996484375
162 6.554077946134676e-06 	 1.0 	 0.018196638909225273 	 0.9966796875
163 6.453663868772443e-06 	 1.0 	 0.018994615455270036 	 0.9962890625
164 7.176863855338966e-06 	 1.0 	 0.019116840626929844 	 0.996484375
165 6.477427144886569e-06 	 1.0 	 0.01907019384905766 	 0.996484375
166 5.659289681809516e-06 	 1.0 	 0.01928984901991839 	 0.99619140625
167 7.082232135362481e-06 	 1.0 	 0.019150422698905344 	 0.99638671875
168 6.136718657926441e-06 	 1.0 	 0.019139896753011955 	 0.9966796875
169 6.050599612096106e-06 	 1.0 	 0.018603779402670283 	 0.9966796875
170 6.035680021713422e-06 	 1.0 	 0.019042450823005198 	 0.9962890625
171 6.083119115035404e-06 	 1.0 	 0.019397688216869824 	 0.99658203125
172 6.2596618829182565e-06 	 1.0 	 0.018676793588494434 	 0.99638671875
173 5.913001687344256e-06 	 1.0 	 0.018601568672355028 	 0.9962890625
174 6.129193421131272e-06 	 1.0 	 0.019181877392819048 	 0.9962890625
175 5.6539337218827405e-06 	 1.0 	 0.018655776209740793 	 0.9966796875
176 5.911118839084457e-06 	 1.0 	 0.019105056072132243 	 0.9966796875
177 5.576357511229377e-06 	 1.0 	 0.01893448489890659 	 0.9962890625
178 5.86506520073232e-06 	 1.0 	 0.019430517956200787 	 0.996484375
179 5.896006100870426e-06 	 1.0 	 0.020255180272297935 	 0.996484375
180 5.590791851588324e-06 	 1.0 	 0.019166890241525892 	 0.9962890625
181 5.0640131887767895e-06 	 1.0 	 0.019350285083922357 	 0.9966796875
182 5.6829276535122945e-06 	 1.0 	 0.019766955890840165 	 0.996484375
183 6.044262538830422e-06 	 1.0 	 0.019492769824375956 	 0.99619140625
184 5.6537602898495844e-06 	 1.0 	 0.01978112733297621 	 0.9966796875
185 5.928837264790349e-06 	 1.0 	 0.019455196957935073 	 0.9966796875
186 5.424861671356426e-06 	 1.0 	 0.019563494087263676 	 0.99638671875
187 5.467840680729753e-06 	 1.0 	 0.019546298744488412 	 0.9966796875
188 5.302825562801705e-06 	 1.0 	 0.01914793262104695 	 0.9962890625
189 5.3315199124590715e-06 	 1.0 	 0.01953584876291643 	 0.99638671875
190 5.584885548799616e-06 	 1.0 	 0.019168068144188054 	 0.9962890625
191 5.24949592641986e-06 	 1.0 	 0.01978715567744018 	 0.99638671875
192 5.4039372830781065e-06 	 1.0 	 0.01990582882194758 	 0.99658203125
193 5.891011849138164e-06 	 1.0 	 0.019374044276818835 	 0.99609375
194 4.923945595710811e-06 	 1.0 	 0.019809373364860505 	 0.996484375
195 5.726906953972865e-06 	 1.0 	 0.019253332380975506 	 0.99658203125
196 5.265777750000059e-06 	 1.0 	 0.01941087154648642 	 0.99638671875
197 5.9164732640935425e-06 	 1.0 	 0.019433172482649752 	 0.99638671875
198 9.658808892981354e-06 	 1.0 	 0.02120947529658679 	 0.99619140625
199 6.154770027021589e-06 	 1.0 	 0.019483401245270215 	 0.99638671875
200 9.614185026821872e-06 	 1.0 	 0.01928519864978 	 0.996484375
201 5.4092935122478785e-06 	 1.0 	 0.01914245653430129 	 0.9966796875
202 5.097316520883615e-06 	 1.0 	 0.01936767390434966 	 0.99677734375
203 4.7547191242071494e-06 	 1.0 	 0.018954053628674215 	 0.9966796875
204 5.157197470905378e-06 	 1.0 	 0.02018410822792873 	 0.99677734375
205 4.67701710380299e-06 	 1.0 	 0.020056056689719527 	 0.99658203125
206 5.167480560808691e-06 	 1.0 	 0.019282400630527264 	 0.99677734375
207 5.2156279161514585e-06 	 1.0 	 0.01953981250321135 	 0.99677734375
208 4.76566810539574e-06 	 1.0 	 0.019017569139239753 	 0.9966796875
209 4.765555914659357e-06 	 1.0 	 0.01973322596355871 	 0.996484375
210 5.095765552997524e-06 	 1.0 	 0.019039053024836505 	 0.99638671875
211 4.680747598690699e-06 	 1.0 	 0.019943432127099925 	 0.9966796875
212 5.403260034303285e-06 	 1.0 	 0.01947576656136505 	 0.996484375
213 4.881139075874773e-06 	 1.0 	 0.019440389283944627 	 0.9966796875
214 5.186665003873811e-06 	 1.0 	 0.01918463587237511 	 0.99658203125
215 4.69755661721333e-06 	 1.0 	 0.019522217422692733 	 0.9966796875
216 4.8750135771578195e-06 	 1.0 	 0.019349093040280253 	 0.996484375
217 5.097609201686766e-06 	 1.0 	 0.01972735727970587 	 0.996484375
218 4.665204581382698e-06 	 1.0 	 0.019917704488668163 	 0.9966796875
219 4.9494430650947434e-06 	 1.0 	 0.01955245208577878 	 0.9962890625
220 4.787267186384967e-06 	 1.0 	 0.01905069098140757 	 0.996484375
221 4.795391579855533e-06 	 1.0 	 0.01966989064617053 	 0.99658203125
222 4.864309894075581e-06 	 1.0 	 0.020245064211815135 	 0.99658203125
223 5.29564225123749e-06 	 1.0 	 0.01973984138475089 	 0.996484375
224 4.816422541112201e-06 	 1.0 	 0.019542792126370046 	 0.996875
225 4.2949270824311685e-06 	 1.0 	 0.01946745676102779 	 0.99658203125
226 4.9645916911323204e-06 	 1.0 	 0.019946625439368405 	 0.996875
227 4.554649001478482e-06 	 1.0 	 0.01980452850198162 	 0.99677734375
228 4.553793097327291e-06 	 1.0 	 0.02017061550350121 	 0.9962890625
229 5.387857171495397e-06 	 1.0 	 0.019466825004542443 	 0.9966796875
230 4.659753558906446e-06 	 1.0 	 0.019848457636271633 	 0.99658203125
231 5.0469822927994134e-06 	 1.0 	 0.0195206090541717 	 0.99677734375
232 4.6372915654522345e-06 	 1.0 	 0.019904211994381173 	 0.99638671875
233 4.20199551015108e-06 	 1.0 	 0.019514511634781684 	 0.996484375
234 4.845436290887174e-06 	 1.0 	 0.020295089205203 	 0.996484375
235 4.243682259848612e-06 	 1.0 	 0.019292797262427542 	 0.9962890625
236 4.292633459639049e-06 	 1.0 	 0.019296119060589943 	 0.996484375
237 4.013444279856223e-06 	 1.0 	 0.02001494888848896 	 0.996484375
238 4.365657682601964e-06 	 1.0 	 0.019878890819060756 	 0.99638671875
239 4.39784802245743e-06 	 1.0 	 0.02039067768116922 	 0.9962890625
240 4.40523552750332e-06 	 1.0 	 0.019688100039391542 	 0.996484375
241 4.516075256754953e-06 	 1.0 	 0.019646049703159463 	 0.99658203125
242 4.354841504503865e-06 	 1.0 	 0.019597849711554715 	 0.9966796875
243 5.097350990238521e-06 	 1.0 	 0.019785304671488292 	 0.996484375
244 4.350969947511278e-06 	 1.0 	 0.020171556831259353 	 0.996484375
245 4.2919494369023295e-06 	 1.0 	 0.019280048723649655 	 0.996484375
246 4.259342455721275e-06 	 1.0 	 0.019436065191820263 	 0.996484375
247 4.732629547898654e-06 	 1.0 	 0.019910314212526713 	 0.99658203125
248 4.568818895785558e-06 	 1.0 	 0.01960128936694048 	 0.99658203125
249 4.254055212364303e-06 	 1.0 	 0.019530238451150695 	 0.9966796875
250 4.0786842605124165e-06 	 1.0 	 0.019150863662891027 	 0.99638671875
251 4.756064467494903e-06 	 1.0 	 0.0195866396121545 	 0.99638671875
252 4.0352876053859285e-06 	 1.0 	 0.01943311439291051 	 0.99658203125
253 4.033573721063032e-06 	 1.0 	 0.01903217171184792 	 0.9962890625
254 4.504427249946933e-06 	 1.0 	 0.020125945086138585 	 0.996484375
255 4.677334825513256e-06 	 1.0 	 0.019617132956258842 	 0.996484375
256 4.2294672314308214e-06 	 1.0 	 0.019577104921584976 	 0.996484375
257 4.0030434070453e-06 	 1.0 	 0.019553134260752357 	 0.99658203125
258 4.300913710349771e-06 	 1.0 	 0.019264168953674242 	 0.996484375
259 3.931435876473518e-06 	 1.0 	 0.01979725731448667 	 0.996484375
260 4.425324176360806e-06 	 1.0 	 0.019157698822451153 	 0.99677734375
261 3.811733249287146e-06 	 1.0 	 0.019912934271788175 	 0.9962890625
262 4.0229652246844385e-06 	 1.0 	 0.01999479380627207 	 0.99638671875
263 4.907300529745309e-06 	 1.0 	 0.0192997879224464 	 0.9962890625
264 4.127563630865315e-06 	 1.0 	 0.01963476112083242 	 0.996484375
265 6.643368009500519e-06 	 1.0 	 0.020063928980286506 	 0.99619140625
266 4.309823093262356e-06 	 1.0 	 0.019638036148388948 	 0.9962890625
267 4.135357912214099e-06 	 1.0 	 0.01931862274317524 	 0.99658203125
268 4.142240786247252e-06 	 1.0 	 0.02001630630933704 	 0.9962890625
269 1.2788350760214146e-05 	 1.0 	 0.020560950276697555 	 0.99658203125
270 8.151210257383261e-06 	 1.0 	 0.019887276950485956 	 0.996484375
271 4.597887803157692e-06 	 1.0 	 0.019820201263674165 	 0.996484375
272 4.215817187053259e-06 	 1.0 	 0.020329437697927232 	 0.99658203125
273 4.81589278458143e-06 	 1.0 	 0.02057409663268004 	 0.996484375
274 5.136091834696498e-06 	 1.0 	 0.020336193953879443 	 0.996484375
275 4.564707154704383e-06 	 1.0 	 0.02011549090631064 	 0.996484375
276 4.345377672773646e-06 	 1.0 	 0.020688163533303338 	 0.9962890625
277 4.301523016264957e-06 	 1.0 	 0.020047917054610308 	 0.9962890625
278 5.4985256581304664e-06 	 1.0 	 0.020391743153136587 	 0.9962890625
279 4.136447014528542e-06 	 1.0 	 0.019695936056720598 	 0.996484375
280 4.172747371699409e-06 	 1.0 	 0.020227537275673058 	 0.99638671875
281 4.179821420181382e-06 	 1.0 	 0.02079269710450262 	 0.99638671875
282 5.409216347670224e-06 	 1.0 	 0.020037422823396867 	 0.996484375
283 4.071288224010792e-06 	 1.0 	 0.020607324861370558 	 0.996484375
284 3.9359657706826165e-06 	 1.0 	 0.020849206965324642 	 0.996484375
285 3.803124089179972e-06 	 1.0 	 0.019999864068779516 	 0.9966796875
286 3.988349243705377e-06 	 1.0 	 0.021111462048881435 	 0.99658203125
287 3.94874777156802e-06 	 1.0 	 0.02054087329423453 	 0.996484375
288 3.5506242586489696e-06 	 1.0 	 0.020246390628599897 	 0.996484375
289 4.0709514962454844e-06 	 1.0 	 0.020407771674318554 	 0.9966796875
290 3.712795710550295e-06 	 1.0 	 0.020802030446698438 	 0.99638671875
291 3.921764813845896e-06 	 1.0 	 0.020322924323252778 	 0.9962890625
292 4.164738247668759e-06 	 1.0 	 0.02008655970348059 	 0.996484375
293 4.193655593040659e-06 	 1.0 	 0.02046293285487195 	 0.9966796875
294 4.020994685783303e-06 	 1.0 	 0.020041065136064164 	 0.99638671875
295 3.6920655213431216e-06 	 1.0 	 0.020055737087697877 	 0.99658203125
296 3.9548581417943e-06 	 1.0 	 0.020915989298535463 	 0.99658203125
297 4.9724410566615724e-06 	 1.0 	 0.020523485642293338 	 0.99638671875
298 4.138744472143431e-06 	 1.0 	 0.020176674931678917 	 0.99619140625
299 3.6747629946546423e-06 	 1.0 	 0.020341682577141286 	 0.99658203125
300 4.035311484564756e-06 	 1.0 	 0.020244511993988114 	 0.99658203125
301 4.263069705445823e-06 	 1.0 	 0.019951910331811006 	 0.99638671875
302 3.834570017943987e-06 	 1.0 	 0.01995464701792855 	 0.99619140625
303 4.2079626137364104e-06 	 1.0 	 0.020301664672838626 	 0.99658203125
304 3.489722145247151e-06 	 1.0 	 0.020156526403589226 	 0.99638671875
305 3.7026966845801595e-06 	 1.0 	 0.020604677884917065 	 0.996484375
306 3.405061339113472e-06 	 1.0 	 0.020331616031614885 	 0.9966796875
307 3.4943015132930412e-06 	 1.0 	 0.020043943646814454 	 0.99638671875
308 3.872263103280102e-06 	 1.0 	 0.0203613528079174 	 0.99658203125
309 4.114805989347518e-06 	 1.0 	 0.020673167515853665 	 0.996484375
310 4.473015071054244e-06 	 1.0 	 0.020367368570859412 	 0.99658203125
311 3.6262944885332697e-06 	 1.0 	 0.020141910731281597 	 0.99638671875
312 3.5894865914494923e-06 	 1.0 	 0.020343720125335096 	 0.99638671875
313 3.750896252129636e-06 	 1.0 	 0.0211103322246629 	 0.9962890625
314 3.80370820357479e-06 	 1.0 	 0.02061816591872656 	 0.99638671875
315 3.2485427343550687e-06 	 1.0 	 0.02045029848632396 	 0.996484375
316 4.7622503340680665e-06 	 1.0 	 0.020026407768573052 	 0.996484375
317 3.7200995069017613e-06 	 1.0 	 0.020082908877411397 	 0.99658203125
318 4.1889426192635725e-06 	 1.0 	 0.02022640842956065 	 0.996484375
319 3.41701637787066e-06 	 1.0 	 0.019727222053816718 	 0.996484375
320 3.614464086895122e-06 	 1.0 	 0.019967253583928368 	 0.996484375
