34 0.0001801449656409386 	 1.0 	 0.018630902798212483 	 0.9961062300319489
35 7.949674218114524e-05 	 1.0 	 0.018898828770976924 	 0.9961062300319489
36 9.231932297290769e-05 	 1.0 	 0.018851776731396375 	 0.9959065495207667
37 9.056531542286393e-05 	 1.0 	 0.018089299876315874 	 0.9965055910543131
38 6.825057973132061e-05 	 1.0 	 0.019280086947185245 	 0.9960063897763578
39 5.942673742567422e-05 	 1.0 	 0.01908385102445662 	 0.996305910543131
40 5.459175498253899e-05 	 1.0 	 0.018992924826808956 	 0.9958067092651757
41 8.7001675440697e-05 	 1.0 	 0.021235115527209806 	 0.9957068690095847
42 7.835257789767638e-05 	 1.0 	 0.019255102999665315 	 0.9962060702875399
43 6.00490559211903e-05 	 1.0 	 0.020253098832691406 	 0.9962060702875399
44 4.771247486358334e-05 	 1.0 	 0.021649195954674846 	 0.9957068690095847
45 6.455050040465722e-05 	 1.0 	 0.02024259679819734 	 0.9959065495207667
46 5.443261900822108e-05 	 1.0 	 0.02024919318048774 	 0.9958067092651757
47 0.0001168605396215571 	 0.99998 	 0.022450858161058372 	 0.9956070287539937
48 5.5005550257410504e-05 	 1.0 	 0.019942058283775554 	 0.9961062300319489
49 0.00034074736406873856 	 0.99992 	 0.02324886416667019 	 0.9955071884984026
50 0.0015972112747044593 	 0.99952 	 0.022867197071082337 	 0.9948083067092651
51 0.002956400393739459 	 0.99916 	 0.02363175714475447 	 0.9948083067092651
52 0.001536567414857127 	 0.99958 	 0.020151627334838464 	 0.9957068690095847
53 0.0015315249763590692 	 0.99956 	 0.020294163102105453 	 0.9961062300319489
54 0.000790176394568116 	 0.9998 	 0.025000639441413414 	 0.9954073482428115
55 0.0004906606768368511 	 0.99986 	 0.022386290247502768 	 0.9959065495207667
56 0.0002770843827932549 	 0.99994 	 0.020037209249613615 	 0.9958067092651757
57 0.0001770729658617347 	 0.99998 	 0.02115152532887689 	 0.9960063897763578
58 7.817333192542719e-05 	 1.0 	 0.01933927491699216 	 0.9962060702875399
59 6.328711187190492e-05 	 1.0 	 0.018401213922809516 	 0.9965055910543131
60 5.87229597393889e-05 	 1.0 	 0.020286611711381786 	 0.9956070287539937
61 5.831587301305262e-05 	 1.0 	 0.018861915117830825 	 0.9966054313099042
62 4.2350994601729324e-05 	 1.0 	 0.0192256750269357 	 0.996305910543131
63 4.0660883864256904e-05 	 1.0 	 0.020259555937727984 	 0.9962060702875399
64 3.982544581100228e-05 	 1.0 	 0.019930753827247245 	 0.9962060702875399
65 3.295376502432191e-05 	 1.0 	 0.02018295010788869 	 0.9961062300319489
66 3.852988893071597e-05 	 1.0 	 0.01977409705717163 	 0.9966054313099042
67 3.2747272078559034e-05 	 1.0 	 0.019583139788648285 	 0.9965055910543131
68 3.280114670906187e-05 	 1.0 	 0.020635284784926267 	 0.9962060702875399
69 3.063751694713574e-05 	 1.0 	 0.020901754015641403 	 0.9964057507987221
70 3.093328326031042e-05 	 1.0 	 0.0204317837488175 	 0.9965055910543131
71 4.476354252314195e-05 	 1.0 	 0.02130822617893388 	 0.9960063897763578
72 3.699242165126634e-05 	 1.0 	 0.020612641401082266 	 0.9961062300319489
73 2.6824358706799103e-05 	 1.0 	 0.021203520680867727 	 0.9960063897763578
74 0.0011803565202526806 	 0.99968 	 0.024706724593387207 	 0.9952076677316294
75 0.0013069708214850106 	 0.9996 	 0.02164272943813116 	 0.9956070287539937
76 0.0011448314716806635 	 0.99962 	 0.02331633089773367 	 0.9955071884984026
77 0.0011056913573078055 	 0.9997 	 0.01992917333442868 	 0.9958067092651757
78 0.0004341069343171694 	 0.99988 	 0.018856954776690082 	 0.9960063897763578
79 0.00011513016367331147 	 1.0 	 0.019575485942847408 	 0.9965055910543131
80 0.000347428063451589 	 0.9999 	 0.02000484394986456 	 0.9958067092651757
81 9.33467103363364e-05 	 1.0 	 0.019614735321678112 	 0.9962060702875399
82 7.646721468743635e-05 	 1.0 	 0.018291207398874212 	 0.996305910543131
83 9.259350790252939e-05 	 0.99996 	 0.02244583365405523 	 0.9957068690095847
84 0.0004982634188906377 	 0.99984 	 0.01988272880292972 	 0.9959065495207667
85 6.513979056056996e-05 	 1.0 	 0.01922340455921832 	 0.9961062300319489
86 3.7536628927118726e-05 	 1.0 	 0.020313000466871244 	 0.9964057507987221
87 5.691358832216793e-05 	 1.0 	 0.020183671455847194 	 0.996305910543131
88 3.99223853291187e-05 	 1.0 	 0.0205228133945417 	 0.9962060702875399
89 3.624146034006117e-05 	 1.0 	 0.01971270912528385 	 0.996305910543131
90 4.734791100850998e-05 	 1.0 	 0.0210674036012357 	 0.9961062300319489
91 0.00020171652264143632 	 0.99996 	 0.021927634056146273 	 0.9957068690095847
92 0.00014364265502768832 	 0.99998 	 0.020608720935846498 	 0.9962060702875399
93 3.600737274478888e-05 	 1.0 	 0.020955987691902878 	 0.9964057507987221
94 4.4634904726044624e-05 	 1.0 	 0.021622641900651066 	 0.996305910543131
95 5.3039891046937554e-05 	 1.0 	 0.019312577213486583 	 0.9965055910543131
96 2.953287475560501e-05 	 1.0 	 0.019574868527183098 	 0.9965055910543131
97 2.4154985417844728e-05 	 1.0 	 0.01967208556063848 	 0.9962060702875399
98 2.5049291397699563e-05 	 1.0 	 0.01956013509480202 	 0.9962060702875399
99 2.6050537759219878e-05 	 1.0 	 0.019935075611872022 	 0.9961062300319489
100 2.074554039616487e-05 	 1.0 	 0.019520846889315963 	 0.996305910543131
101 2.8339634552721692e-05 	 1.0 	 0.019264719290788254 	 0.9967052715654952
102 2.212943852398894e-05 	 1.0 	 0.019086755039818975 	 0.9966054313099042
103 2.2535284905316075e-05 	 1.0 	 0.018836515576530394 	 0.9968051118210862
104 2.542291732486774e-05 	 1.0 	 0.019500652679185826 	 0.9967052715654952
105 2.2819181123450107e-05 	 1.0 	 0.01922729474892277 	 0.9967052715654952
106 1.8832671604504867e-05 	 1.0 	 0.01958588150181787 	 0.9964057507987221
107 1.8750036026685848e-05 	 1.0 	 0.01975984790912383 	 0.9967052715654952
108 2.2481624111969723e-05 	 1.0 	 0.01962906380925795 	 0.9968051118210862
109 1.8229433632204747e-05 	 1.0 	 0.020101439748382275 	 0.9966054313099042
110 1.9156805139828066e-05 	 1.0 	 0.01955061461465378 	 0.9965055910543131
111 2.150427275133552e-05 	 1.0 	 0.021463961733462447 	 0.9966054313099042
112 1.541337811820995e-05 	 1.0 	 0.01957356823004157 	 0.9967052715654952
113 2.2201050028161264e-05 	 1.0 	 0.020422793066674463 	 0.9965055910543131
114 1.4585853788976237e-05 	 1.0 	 0.01907121912244621 	 0.9967052715654952
115 2.282439376487673e-05 	 1.0 	 0.020010834454435605 	 0.9965055910543131
116 2.374340542954087e-05 	 1.0 	 0.019541955777038184 	 0.9966054313099042
117 1.776206603482933e-05 	 1.0 	 0.020025214841862413 	 0.9967052715654952
118 3.526715560161392e-05 	 1.0 	 0.018594884019500987 	 0.9970047923322684
119 2.0175434054963263e-05 	 1.0 	 0.018730922215709666 	 0.9966054313099042
120 1.4465152015163767e-05 	 1.0 	 0.018981737382684657 	 0.9972044728434505
121 1.4685821683651739e-05 	 1.0 	 0.0189156535544366 	 0.9967052715654952
122 2.363853264552745e-05 	 1.0 	 0.019758575534794296 	 0.9966054313099042
123 1.9897983701921477e-05 	 1.0 	 0.019757951756086762 	 0.9966054313099042
124 1.4999850526528462e-05 	 1.0 	 0.02054588987070297 	 0.9966054313099042
125 1.261468936512756e-05 	 1.0 	 0.01948590034267842 	 0.9968051118210862
126 5.110521903796325e-05 	 0.99998 	 0.01886001350471605 	 0.9967052715654952
127 1.574250789888538e-05 	 1.0 	 0.018581134930900155 	 0.9966054313099042
128 1.512892989492684e-05 	 1.0 	 0.018784894334312963 	 0.9967052715654952
129 2.3884327448813565e-05 	 1.0 	 0.019102521548045235 	 0.9968051118210862
130 1.284027437088298e-05 	 1.0 	 0.018815659198248985 	 0.9968051118210862
131 1.302313111960757e-05 	 1.0 	 0.019508263805955366 	 0.9967052715654952
132 1.3912620680239342e-05 	 1.0 	 0.01894617821124022 	 0.9967052715654952
133 1.2939275435655872e-05 	 1.0 	 0.019411982324161584 	 0.9968051118210862
134 1.4762487093685196e-05 	 1.0 	 0.0192954458104291 	 0.9968051118210862
135 1.4812748943113547e-05 	 1.0 	 0.019285097191899827 	 0.9968051118210862
136 1.0864094952066807e-05 	 1.0 	 0.019111340548537914 	 0.9969049520766773
137 1.0610634430813662e-05 	 1.0 	 0.019401334138024685 	 0.9968051118210862
138 1.6465526716820024e-05 	 1.0 	 0.01933691258598762 	 0.9966054313099042
139 1.2316694523888145e-05 	 1.0 	 0.019220165509323626 	 0.9971046325878594
140 9.957174259852763e-06 	 1.0 	 0.019740012284867003 	 0.9971046325878594
141 1.0538588639901718e-05 	 1.0 	 0.019528926779358132 	 0.9967052715654952
142 1.206967976733722e-05 	 1.0 	 0.01926081150014806 	 0.9969049520766773
143 1.3968209416743775e-05 	 1.0 	 0.019358774701526166 	 0.9968051118210862
144 3.393928172527012e-05 	 1.0 	 0.020651372853117515 	 0.9964057507987221
145 1.2828227825266368e-05 	 1.0 	 0.019505181174396417 	 0.9968051118210862
146 1.2900531725044857e-05 	 1.0 	 0.020092968942986074 	 0.9962060702875399
147 1.6898327217295445e-05 	 1.0 	 0.019127232979206828 	 0.9967052715654952
148 1.1693254958063335e-05 	 1.0 	 0.019765826212581186 	 0.9965055910543131
149 1.0071202821200131e-05 	 1.0 	 0.02048204911028942 	 0.9962060702875399
150 1.0169196971237398e-05 	 1.0 	 0.019452562268678305 	 0.9966054313099042
151 1.5535861408079655e-05 	 1.0 	 0.019979491295380545 	 0.9962060702875399
152 1.788491456420161e-05 	 1.0 	 0.020321458109227447 	 0.9962060702875399
153 1.191241052643818e-05 	 1.0 	 0.019730647701662885 	 0.9966054313099042
154 9.93867907234744e-06 	 1.0 	 0.02002044377483247 	 0.9966054313099042
155 1.1535183354826585e-05 	 1.0 	 0.01950418131483433 	 0.9966054313099042
156 9.927229539407562e-06 	 1.0 	 0.01949785503310691 	 0.9968051118210862
157 1.1988465559261386e-05 	 1.0 	 0.019755407718579178 	 0.9965055910543131
158 8.863236044526274e-06 	 1.0 	 0.020102294694438548 	 0.996305910543131
159 8.969054953249725e-06 	 1.0 	 0.02042888209262865 	 0.9964057507987221
160 1.1704903249419658e-05 	 1.0 	 0.019306389978789147 	 0.9965055910543131
161 2.8452688382640188e-05 	 1.0 	 0.019290735792170787 	 0.9966054313099042
162 1.5758317862364492e-05 	 1.0 	 0.018782206385344072 	 0.9964057507987221
163 1.2184999568071362e-05 	 1.0 	 0.01956187667871419 	 0.9962060702875399
164 1.3479127110731497e-05 	 1.0 	 0.019358975764936975 	 0.9967052715654952
165 1.1511089082068792e-05 	 1.0 	 0.019554099073913565 	 0.9964057507987221
166 9.451760737865698e-06 	 1.0 	 0.01905710338855523 	 0.9966054313099042
167 8.919671110961644e-06 	 1.0 	 0.01986771000897621 	 0.9964057507987221
168 1.1979521553676022e-05 	 1.0 	 0.01899965393844898 	 0.9967052715654952
169 9.505309412597853e-06 	 1.0 	 0.019248436900666934 	 0.9967052715654952
170 1.411459883032876e-05 	 1.0 	 0.019370899827528446 	 0.9967052715654952
171 1.0255737578590924e-05 	 1.0 	 0.019006672383292414 	 0.9966054313099042
172 1.2193916083751901e-05 	 1.0 	 0.019276776081575405 	 0.9965055910543131
173 7.851770280522033e-06 	 1.0 	 0.018923131645620858 	 0.9965055910543131
174 8.5892120682729e-06 	 1.0 	 0.018715534048167868 	 0.9968051118210862
175 1.0304737154592658e-05 	 1.0 	 0.019598148521838967 	 0.9964057507987221
176 1.0492855610646075e-05 	 1.0 	 0.019938894476730765 	 0.9966054313099042
177 7.873811907757045e-06 	 1.0 	 0.01932347988453491 	 0.9965055910543131
178 8.296854932186761e-06 	 1.0 	 0.01896668158437864 	 0.9965055910543131
179 7.5229882254188855e-06 	 1.0 	 0.01951991103591642 	 0.9966054313099042
180 8.625737915035643e-06 	 1.0 	 0.019615271943846532 	 0.9967052715654952
181 0.000428175455815981 	 0.99994 	 0.022765772466174006 	 0.9959065495207667
182 4.123767454339031e-05 	 1.0 	 0.023128417319762215 	 0.9959065495207667
183 1.6171015120853552e-05 	 1.0 	 0.021944515521885335 	 0.9959065495207667
184 1.6483439853509482e-05 	 1.0 	 0.022174114153587467 	 0.9962060702875399
185 1.2163188514223293e-05 	 1.0 	 0.02179918884819283 	 0.9966054313099042
186 1.3237908843602782e-05 	 1.0 	 0.021441351783646163 	 0.9965055910543131
187 1.2270171011969069e-05 	 1.0 	 0.020431993464792964 	 0.9969049520766773
188 1.9768931093112768e-05 	 1.0 	 0.02115122731432699 	 0.9962060702875399
189 1.4693580418825149e-05 	 1.0 	 0.020334548991626074 	 0.9964057507987221
190 1.0386140407172207e-05 	 1.0 	 0.020118870661815325 	 0.9964057507987221
191 1.3337409445193771e-05 	 1.0 	 0.02105351415979332 	 0.9966054313099042
192 1.3993880919369985e-05 	 1.0 	 0.02105831309754943 	 0.9964057507987221
193 1.3630453622954519e-05 	 1.0 	 0.020058791027176434 	 0.9966054313099042
194 2.2023000699609837e-05 	 1.0 	 0.021751530050931552 	 0.9966054313099042
195 1.163444563635494e-05 	 1.0 	 0.02094296364210592 	 0.9967052715654952
196 9.414656587323407e-06 	 1.0 	 0.02072103258986269 	 0.9966054313099042
197 1.108121264800502e-05 	 1.0 	 0.020463775015981244 	 0.9968051118210862
198 1.0071853984081827e-05 	 1.0 	 0.02093633976456791 	 0.9966054313099042
199 8.280587532744904e-06 	 1.0 	 0.020969933185659366 	 0.9966054313099042
200 8.508609708751464e-06 	 1.0 	 0.020241769945388156 	 0.9968051118210862
201 0.0006297455751777124 	 0.99982 	 0.022363927465868856 	 0.9961062300319489
202 0.0007623833507148811 	 0.99974 	 0.023922166602146674 	 0.9964057507987221
203 0.0016080009357635572 	 0.99936 	 0.04391613952061896 	 0.9893170926517572
204 0.0015547627181776624 	 0.99946 	 0.024292901335146368 	 0.9953075079872205
205 0.0005333087394496034 	 0.99986 	 0.02031892015421485 	 0.9956070287539937
206 9.207013758968969e-05 	 1.0 	 0.019984984825362463 	 0.9959065495207667
207 7.718817883778683e-05 	 1.0 	 0.01958333435821771 	 0.996305910543131
208 0.00012755659047961672 	 0.99996 	 0.020132412697208904 	 0.9962060702875399
209 5.2774484943220156e-05 	 1.0 	 0.02098695471879575 	 0.9959065495207667
210 4.4006383903251845e-05 	 1.0 	 0.020137215257061445 	 0.9965055910543131
211 3.543339612344425e-05 	 1.0 	 0.0192422740980088 	 0.9968051118210862
212 7.810277870994469e-05 	 1.0 	 0.018305312220793957 	 0.9962060702875399
213 5.049973368961218e-05 	 1.0 	 0.018920037974275796 	 0.9966054313099042
214 2.518836955383449e-05 	 1.0 	 0.018848471192142915 	 0.9965055910543131
215 2.4256591734156245e-05 	 1.0 	 0.01924737287064158 	 0.996305910543131
216 2.020614417733668e-05 	 1.0 	 0.019670101353381576 	 0.9962060702875399
217 2.014944405458664e-05 	 1.0 	 0.019721435010141678 	 0.9964057507987221
218 1.7735027077615085e-05 	 1.0 	 0.019901445429118952 	 0.9966054313099042
219 2.1597732780610384e-05 	 1.0 	 0.01947999681437476 	 0.996305910543131
220 2.42174658325348e-05 	 1.0 	 0.01955073766110838 	 0.9965055910543131
221 1.765522943007454e-05 	 1.0 	 0.02002874900896235 	 0.996305910543131
222 2.198930058228143e-05 	 1.0 	 0.02027784138373701 	 0.996305910543131
223 1.4167824811356694e-05 	 1.0 	 0.02005644852021216 	 0.9968051118210862
224 1.2564848969504965e-05 	 1.0 	 0.0207447014114067 	 0.9966054313099042
225 1.3797073921778065e-05 	 1.0 	 0.019918458826606755 	 0.9967052715654952
226 1.536698385792988e-05 	 1.0 	 0.019761446274145465 	 0.9966054313099042
227 1.8959872597170033e-05 	 1.0 	 0.020427998445644985 	 0.9967052715654952
228 1.578917926628492e-05 	 1.0 	 0.021107767009863554 	 0.9968051118210862
229 1.194100562870517e-05 	 1.0 	 0.020046044619231526 	 0.9968051118210862
230 1.4071287293099886e-05 	 1.0 	 0.020496657652306197 	 0.9965055910543131
231 1.9256101924001997e-05 	 1.0 	 0.021026270385860493 	 0.996305910543131
232 1.2975219118761743e-05 	 1.0 	 0.021241849915527244 	 0.9965055910543131
233 1.2846021993100294e-05 	 1.0 	 0.019909116076675604 	 0.9967052715654952
234 9.991358453153225e-06 	 1.0 	 0.02063924830959338 	 0.9967052715654952
235 1.0562744108319749e-05 	 1.0 	 0.02094307290659448 	 0.996305910543131
236 1.2133809622664557e-05 	 1.0 	 0.020329399205820844 	 0.9964057507987221
237 1.0858960640725855e-05 	 1.0 	 0.020376741370427453 	 0.9966054313099042
238 1.0412190759261648e-05 	 1.0 	 0.01977773500916806 	 0.9966054313099042
239 1.0241814943065037e-05 	 1.0 	 0.020250270380274424 	 0.9966054313099042
240 1.2470980800026154e-05 	 1.0 	 0.02105080521323725 	 0.9967052715654952
241 9.931320532068639e-06 	 1.0 	 0.02085959088294683 	 0.9965055910543131
242 9.310425693602156e-06 	 1.0 	 0.020450054902597818 	 0.9968051118210862
243 9.352022825369204e-06 	 1.0 	 0.020650070586399283 	 0.9968051118210862
244 1.01098713958163e-05 	 1.0 	 0.020768698083031903 	 0.9966054313099042
245 1.1745183485181769e-05 	 1.0 	 0.020453778129913856 	 0.9968051118210862
246 1.878582057694075e-05 	 1.0 	 0.02164377859009618 	 0.9965055910543131
247 1.2455514171997493e-05 	 1.0 	 0.020435279187008253 	 0.9966054313099042
248 1.0368785575774382e-05 	 1.0 	 0.021238332279170002 	 0.9966054313099042
249 9.06734271172354e-06 	 1.0 	 0.020773242507558395 	 0.9967052715654952
250 9.04618282716001e-06 	 1.0 	 0.02042665534497955 	 0.9967052715654952
251 1.0545928806022858e-05 	 1.0 	 0.021434040383028083 	 0.9967052715654952
252 1.0006545725409524e-05 	 1.0 	 0.02078834138926479 	 0.9969049520766773
253 8.635438124720168e-06 	 1.0 	 0.021347742386084948 	 0.9966054313099042
254 9.458629841947186e-06 	 1.0 	 0.021837770074146685 	 0.9967052715654952
255 8.133443569786323e-06 	 1.0 	 0.021511990775512496 	 0.9966054313099042
256 7.73017202452138e-06 	 1.0 	 0.021054083882993714 	 0.9966054313099042
257 1.2100736533220697e-05 	 1.0 	 0.02124908121637787 	 0.9965055910543131
258 8.315624999222563e-06 	 1.0 	 0.021951766600170432 	 0.9964057507987221
259 7.587938440383368e-06 	 1.0 	 0.02130018813694676 	 0.9965055910543131
260 9.678023080350613e-06 	 1.0 	 0.021303739137406776 	 0.9966054313099042
261 7.807020342779651e-06 	 1.0 	 0.020270162274372408 	 0.9967052715654952
262 1.3566582057501364e-05 	 1.0 	 0.021507393569937555 	 0.996305910543131
263 8.464829895001458e-06 	 1.0 	 0.021626984063426207 	 0.9965055910543131
264 1.1041362775413291e-05 	 1.0 	 0.021922072430927253 	 0.996305910543131
265 1.6646529031122555e-05 	 1.0 	 0.02090349843366637 	 0.9966054313099042
266 1.0047277572029998e-05 	 1.0 	 0.02110410325585058 	 0.9968051118210862
267 7.165911344900451e-06 	 1.0 	 0.021425724577553252 	 0.9965055910543131
268 7.816041173036866e-06 	 1.0 	 0.020938275947241146 	 0.9966054313099042
269 7.576010063794456e-06 	 1.0 	 0.021965829288176475 	 0.9966054313099042
270 7.0379807380049895e-06 	 1.0 	 0.020329730197024234 	 0.9968051118210862
271 9.28774585832798e-06 	 1.0 	 0.020503473175700074 	 0.9966054313099042
272 7.967767672971603e-06 	 1.0 	 0.020804920593773844 	 0.9967052715654952
273 1.0138882507899325e-05 	 1.0 	 0.021311313179348517 	 0.9965055910543131
274 1.615586754611286e-05 	 1.0 	 0.021417022085726198 	 0.996305910543131
275 9.184645553341398e-06 	 1.0 	 0.02068853662672127 	 0.9964057507987221
276 8.132173744616011e-06 	 1.0 	 0.021531061776684488 	 0.9964057507987221
277 9.10767483997006e-06 	 1.0 	 0.02126184692282902 	 0.9964057507987221
278 6.771440445345434e-06 	 1.0 	 0.02020339779757866 	 0.9964057507987221
279 9.071266537848714e-06 	 1.0 	 0.020784120062549222 	 0.9965055910543131
280 6.593365318994983e-06 	 1.0 	 0.02063904298659855 	 0.996305910543131
281 1.6195111646693477e-05 	 1.0 	 0.021217319520161936 	 0.9964057507987221
282 7.993297875436837e-06 	 1.0 	 0.021314526977613612 	 0.9964057507987221
283 7.012061797277056e-06 	 1.0 	 0.022172231756199475 	 0.9962060702875399
284 7.4665175271820775e-06 	 1.0 	 0.022512481437217322 	 0.9958067092651757
285 6.526347475382863e-06 	 1.0 	 0.021459427789033418 	 0.9964057507987221
286 7.146893518865909e-06 	 1.0 	 0.021501489635213623 	 0.9960063897763578
287 5.945116607881573e-06 	 1.0 	 0.022089753127268328 	 0.996305910543131
288 2.251451224930861e-05 	 1.0 	 0.02171551360032545 	 0.9962060702875399
289 9.143621659713972e-06 	 1.0 	 0.02112159995329166 	 0.996305910543131
290 7.2183698901426395e-06 	 1.0 	 0.020419618443627562 	 0.996305910543131
291 6.543797812355479e-06 	 1.0 	 0.020939133958467093 	 0.9965055910543131
292 6.856750840606764e-06 	 1.0 	 0.020776939329462635 	 0.9965055910543131
293 5.655785192257099e-06 	 1.0 	 0.020823193548527925 	 0.9966054313099042
294 6.412331374913265e-06 	 1.0 	 0.021838438370836932 	 0.9962060702875399
295 8.583593730081702e-06 	 1.0 	 0.021157176802997953 	 0.996305910543131
296 9.490761967599611e-06 	 1.0 	 0.021683799930497644 	 0.9964057507987221
297 6.23116191817644e-06 	 1.0 	 0.02137846018020443 	 0.9966054313099042
298 7.683302637105954e-06 	 1.0 	 0.020948708236092215 	 0.9965055910543131
299 7.27509460217334e-06 	 1.0 	 0.02069944298683802 	 0.9968051118210862
300 5.420300281612071e-06 	 1.0 	 0.020406678588291486 	 0.9967052715654952
301 6.032084977523482e-06 	 1.0 	 0.02012258427343643 	 0.9965055910543131
302 7.492504873716825e-06 	 1.0 	 0.02093838906364045 	 0.9969049520766773
303 5.753331860069011e-06 	 1.0 	 0.02077708412564908 	 0.9965055910543131
304 5.671141557277224e-06 	 1.0 	 0.02051241393088774 	 0.9967052715654952
305 6.394920205266316e-06 	 1.0 	 0.02080771033259849 	 0.9969049520766773
