85 2.1798374631071055e-05 	 1.0 	 0.0190375815935922 	 0.9968051118210862
86 3.17916286111722e-05 	 1.0 	 0.018921949620399288 	 0.9966054313099042
87 2.8630690772261005e-05 	 1.0 	 0.01874107503309655 	 0.9970047923322684
88 2.8533742580948456e-05 	 1.0 	 0.018891636834086532 	 0.9968051118210862
89 2.3406905306437694e-05 	 1.0 	 0.019229168310020642 	 0.9964057507987221
90 2.7339524428862204e-05 	 1.0 	 0.01924842447488481 	 0.9967052715654952
91 4.2053117510113225e-05 	 1.0 	 0.02169999258960463 	 0.9962060702875399
92 3.648425213403243e-05 	 1.0 	 0.02024463876126155 	 0.9962060702875399
93 2.163969952482148e-05 	 1.0 	 0.019891219172316628 	 0.9964057507987221
94 2.4326508896629095e-05 	 1.0 	 0.019970878447526836 	 0.996305910543131
95 2.0379263410832208e-05 	 1.0 	 0.020103495596812515 	 0.9967052715654952
96 2.294791687741963e-05 	 1.0 	 0.020911143833194448 	 0.9964057507987221
97 2.042601974782883e-05 	 1.0 	 0.020297882566173955 	 0.9966054313099042
98 2.048982897114911e-05 	 1.0 	 0.020130647300158042 	 0.9967052715654952
99 2.2545960048300913e-05 	 1.0 	 0.02138266336873204 	 0.9965055910543131
100 1.6942971593416586e-05 	 1.0 	 0.020456701608149736 	 0.9968051118210862
101 2.139844230750896e-05 	 1.0 	 0.020855320308870294 	 0.9966054313099042
102 0.00015083872952269302 	 0.99996 	 0.021269109106413542 	 0.996305910543131
103 9.647081722243456e-05 	 1.0 	 0.02212574016409043 	 0.996305910543131
104 7.693519775610184e-05 	 0.99998 	 0.021133517166759475 	 0.9964057507987221
105 4.466097713138879e-05 	 1.0 	 0.020654129978873073 	 0.996305910543131
106 2.6807527186683728e-05 	 1.0 	 0.02025383349958526 	 0.9967052715654952
107 3.306967942364281e-05 	 1.0 	 0.020470805137619393 	 0.9969049520766773
108 3.0191202406458614e-05 	 1.0 	 0.02116205550954018 	 0.9964057507987221
109 2.083626284460479e-05 	 1.0 	 0.02057304944521591 	 0.9965055910543131
110 2.3858230795594862e-05 	 1.0 	 0.020146548606115207 	 0.9967052715654952
111 3.7316135045039116e-05 	 1.0 	 0.02149554142569012 	 0.996305910543131
112 2.597525649365707e-05 	 1.0 	 0.02129606188465548 	 0.9964057507987221
113 1.9806699456639763e-05 	 1.0 	 0.020583893971869868 	 0.9964057507987221
114 1.616095374352881e-05 	 1.0 	 0.020185550893120234 	 0.9965055910543131
115 1.8057992630292575e-05 	 1.0 	 0.020699659721607293 	 0.996305910543131
116 1.571079520672356e-05 	 1.0 	 0.02106711230401426 	 0.996305910543131
117 1.5182312992146762e-05 	 1.0 	 0.020546737767905977 	 0.996305910543131
118 1.4381321677428787e-05 	 1.0 	 0.021234680937348125 	 0.996305910543131
119 1.4120754154155293e-05 	 1.0 	 0.020257635912203156 	 0.9966054313099042
120 1.3700628450806107e-05 	 1.0 	 0.01986542977403214 	 0.9966054313099042
121 1.3924795928141975e-05 	 1.0 	 0.020350707530571405 	 0.9965055910543131
122 1.7402434016094047e-05 	 1.0 	 0.019803465579009014 	 0.9966054313099042
123 1.5267490148398792e-05 	 1.0 	 0.01975575046070246 	 0.9967052715654952
124 1.4954653857002995e-05 	 1.0 	 0.020054339757532177 	 0.9966054313099042
125 1.3219696377054787e-05 	 1.0 	 0.020214954109732775 	 0.9967052715654952
126 1.8541315476086312e-05 	 1.0 	 0.0199814242991249 	 0.9965055910543131
127 1.9372525962426153e-05 	 1.0 	 0.020388564414891577 	 0.9968051118210862
128 1.3241540500039264e-05 	 1.0 	 0.02071529536756468 	 0.9969049520766773
129 1.618559076605379e-05 	 1.0 	 0.020613093626259966 	 0.9968051118210862
130 1.3010438909241202e-05 	 1.0 	 0.020147652407592195 	 0.9968051118210862
131 1.6380733679434344e-05 	 1.0 	 0.02149385435131445 	 0.9967052715654952
132 1.2531444139513042e-05 	 1.0 	 0.021415378093103992 	 0.9968051118210862
133 1.3091592286928062e-05 	 1.0 	 0.02159951258849074 	 0.9962060702875399
134 1.3872819230982714e-05 	 1.0 	 0.020526581544399146 	 0.9967052715654952
135 1.4547305907399277e-05 	 1.0 	 0.020817174150814376 	 0.9966054313099042
136 1.5526556199984043e-05 	 1.0 	 0.022335175126987943 	 0.9966054313099042
137 1.2258429391677054e-05 	 1.0 	 0.02160969515617648 	 0.9967052715654952
138 1.992747781385333e-05 	 1.0 	 0.022813575874785635 	 0.9962060702875399
139 1.1227587587272866e-05 	 1.0 	 0.021716723221610876 	 0.9965055910543131
140 1.2266216253901802e-05 	 1.0 	 0.021533740803805015 	 0.9968051118210862
141 1.1263247198075988e-05 	 1.0 	 0.022450248158252608 	 0.9960063897763578
142 1.0838654741892243e-05 	 1.0 	 0.02156973054653676 	 0.9965055910543131
143 1.075126453149096e-05 	 1.0 	 0.02117463354453886 	 0.9967052715654952
144 1.0195929717538092e-05 	 1.0 	 0.021169202132107795 	 0.9965055910543131
145 1.664214754027853e-05 	 1.0 	 0.02228447195658284 	 0.9964057507987221
146 1.1678759022779559e-05 	 1.0 	 0.021794341103727653 	 0.9964057507987221
147 1.1977083669044077e-05 	 1.0 	 0.023140537896699915 	 0.9960063897763578
148 9.70842550510497e-06 	 1.0 	 0.020898533297096043 	 0.9964057507987221
149 9.96843586983232e-06 	 1.0 	 0.02226880990927387 	 0.9961062300319489
150 9.901885522358498e-06 	 1.0 	 0.022026036747623462 	 0.996305910543131
151 9.560854022856802e-06 	 1.0 	 0.022080719723924096 	 0.996305910543131
152 9.632895440845458e-06 	 1.0 	 0.021369933591900595 	 0.9962060702875399
153 9.862628173987104e-06 	 1.0 	 0.021729990196867707 	 0.9965055910543131
154 1.013158773581381e-05 	 1.0 	 0.021567579741505475 	 0.9964057507987221
155 9.353878491219802e-06 	 1.0 	 0.021930475237274132 	 0.9964057507987221
156 1.1907774794335636e-05 	 1.0 	 0.02179689729527604 	 0.996305910543131
157 9.44661486595578e-06 	 1.0 	 0.021521320447714636 	 0.9965055910543131
158 9.279257106263685e-06 	 1.0 	 0.021462193666428077 	 0.9964057507987221
159 1.3039557929059811e-05 	 1.0 	 0.021420829882425513 	 0.9966054313099042
160 1.0588646021878957e-05 	 1.0 	 0.02262236021265845 	 0.9960063897763578
161 1.0631521371287818e-05 	 1.0 	 0.020616954569342746 	 0.9968051118210862
162 9.443499580920616e-06 	 1.0 	 0.02115969561074331 	 0.9968051118210862
163 8.646207081792454e-06 	 1.0 	 0.022376814594034507 	 0.996305910543131
164 1.0234478453985502e-05 	 1.0 	 0.02101362651592426 	 0.9966054313099042
165 1.39085825289294e-05 	 1.0 	 0.02177944144922728 	 0.9966054313099042
166 8.470197538790672e-06 	 1.0 	 0.020922544495925025 	 0.9969049520766773
167 7.984888259543368e-06 	 1.0 	 0.021481971736156687 	 0.9964057507987221
168 8.741807240467096e-06 	 1.0 	 0.020706575085888326 	 0.9968051118210862
169 8.366109380094713e-06 	 1.0 	 0.021744152605361732 	 0.9967052715654952
170 8.376624393831661e-06 	 1.0 	 0.020813269482491653 	 0.9966054313099042
171 7.778345630395051e-06 	 1.0 	 0.02205347230783438 	 0.9966054313099042
172 9.586760779393445e-06 	 1.0 	 0.020401050247359397 	 0.9969049520766773
173 7.572208469209727e-06 	 1.0 	 0.021323114131539627 	 0.9964057507987221
174 8.664599226849532e-06 	 1.0 	 0.02069114465555881 	 0.9968051118210862
175 7.559864536233363e-06 	 1.0 	 0.021549860645258864 	 0.9965055910543131
176 8.57037242178194e-06 	 1.0 	 0.021124593820225877 	 0.9967052715654952
177 7.591274970181985e-06 	 1.0 	 0.022201768220661246 	 0.9965055910543131
178 8.104416326714272e-06 	 1.0 	 0.021836911076425183 	 0.9964057507987221
179 6.974402148007357e-06 	 1.0 	 0.021259270442230783 	 0.9966054313099042
180 1.019931561832891e-05 	 1.0 	 0.021851300508569402 	 0.9967052715654952
181 9.518123625712179e-06 	 1.0 	 0.02162581008568481 	 0.9966054313099042
182 6.719155968730775e-06 	 1.0 	 0.02183205186248459 	 0.9965055910543131
183 8.316603147504793e-06 	 1.0 	 0.020625007836878113 	 0.9968051118210862
184 9.375809741532067e-06 	 1.0 	 0.021944466149153023 	 0.9964057507987221
185 6.8251361124657705e-06 	 1.0 	 0.022567680040218294 	 0.9964057507987221
186 7.050002675623546e-06 	 1.0 	 0.022609589389474286 	 0.9964057507987221
187 1.1172936798484444e-05 	 1.0 	 0.02153101503611883 	 0.996305910543131
188 7.948729572381125e-06 	 1.0 	 0.02108539379389077 	 0.9967052715654952
189 7.467847927282491e-06 	 1.0 	 0.020467626062395793 	 0.9969049520766773
190 8.20447471879561e-06 	 1.0 	 0.021741861074451335 	 0.9965055910543131
191 7.900546178043441e-06 	 1.0 	 0.02147756151369982 	 0.9965055910543131
192 8.586739975635282e-06 	 1.0 	 0.0211693096770428 	 0.9965055910543131
193 7.319474805935897e-06 	 1.0 	 0.02194316196727023 	 0.9965055910543131
194 7.738171340652115e-06 	 1.0 	 0.021944504111856146 	 0.9965055910543131
195 7.319823011994231e-06 	 1.0 	 0.0209631444542415 	 0.9966054313099042
196 6.357284765126679e-06 	 1.0 	 0.022299667289294136 	 0.996305910543131
197 6.464918434612628e-06 	 1.0 	 0.021122107018354385 	 0.9965055910543131
198 6.75179775766992e-06 	 1.0 	 0.021970036225331696 	 0.9964057507987221
199 8.656325478104918e-06 	 1.0 	 0.021712580570708788 	 0.9965055910543131
200 7.866267347171743e-06 	 1.0 	 0.021442876387921868 	 0.9964057507987221
201 0.00045779381154289697 	 0.99982 	 0.02554200132901072 	 0.9955071884984026
202 0.0007252538816380184 	 0.99988 	 0.022374243878179906 	 0.9959065495207667
203 0.0006081714188258047 	 0.99984 	 0.020586410812867804 	 0.9962060702875399
204 0.00019359564142618183 	 0.99994 	 0.021598004473548392 	 0.9957068690095847
205 4.4057958521116234e-05 	 1.0 	 0.024441360010318925 	 0.9952076677316294
206 3.7970693384886546e-05 	 1.0 	 0.0205812470714448 	 0.9959065495207667
207 2.2075621177355062e-05 	 1.0 	 0.021191395876416684 	 0.9959065495207667
208 2.343679380846879e-05 	 1.0 	 0.022174773908924666 	 0.9956070287539937
209 1.972711750529925e-05 	 1.0 	 0.020972211892603117 	 0.9961062300319489
210 0.00047762440036247425 	 0.99992 	 0.02067212216688234 	 0.9962060702875399
211 0.00022481600641931435 	 0.99996 	 0.02201987273775331 	 0.996305910543131
212 3.2322893837736045e-05 	 1.0 	 0.022514837227743174 	 0.9962060702875399
213 3.14171668414383e-05 	 1.0 	 0.02364933104032249 	 0.9959065495207667
214 2.2231114130918286e-05 	 1.0 	 0.021515718907179827 	 0.996305910543131
215 1.842275144192172e-05 	 1.0 	 0.02340543831426733 	 0.9960063897763578
216 2.9150586584928532e-05 	 1.0 	 0.024251857141618715 	 0.9958067092651757
217 2.8897920290710318e-05 	 1.0 	 0.02176109406685172 	 0.9962060702875399
218 0.000985584363750295 	 0.99976 	 0.02255593548690345 	 0.9953075079872205
219 0.0015753113167917764 	 0.9995 	 0.02731094467531939 	 0.994508785942492
220 0.0016500595998593054 	 0.99946 	 0.02501814030132571 	 0.9958067092651757
221 0.0026051385261316316 	 0.9992 	 0.021956786694498152 	 0.9959065495207667
222 0.0008113757649624313 	 0.99978 	 0.021412077603312086 	 0.996305910543131
223 0.0004433586927755823 	 0.99988 	 0.024287911072566674 	 0.9957068690095847
224 0.0008777768724604539 	 0.9998 	 0.025401888913347357 	 0.9948083067092651
225 0.000853275269034275 	 0.99978 	 0.020036646805639696 	 0.9958067092651757
226 0.00013184722517748014 	 1.0 	 0.020369647997550765 	 0.9959065495207667
227 8.152480568933243e-05 	 1.0 	 0.02106753261034773 	 0.9954073482428115
228 0.0005927711065304902 	 0.99984 	 0.02165105445293722 	 0.9953075079872205
229 0.00021310675764143526 	 0.99994 	 0.023221213453699003 	 0.9956070287539937
230 8.34042139486337e-05 	 0.99998 	 0.021458272390908258 	 0.9960063897763578
231 5.904187368407292e-05 	 1.0 	 0.02138865528046537 	 0.9961062300319489
232 3.0057573370577302e-05 	 1.0 	 0.02053477483316735 	 0.996305910543131
233 2.9808932151463524e-05 	 1.0 	 0.01996408082778869 	 0.9961062300319489
234 2.5183585752929504e-05 	 1.0 	 0.019820718342466476 	 0.9962060702875399
235 3.591012056385807e-05 	 1.0 	 0.019061212452405482 	 0.9965055910543131
236 3.64543695458633e-05 	 1.0 	 0.020399453374295537 	 0.9960063897763578
237 2.4902771779106843e-05 	 1.0 	 0.020132322996445896 	 0.9959065495207667
238 2.0370926513696757e-05 	 1.0 	 0.020495720887047413 	 0.9962060702875399
239 2.3970157704934536e-05 	 1.0 	 0.020315509351433367 	 0.9961062300319489
240 2.018719548064837e-05 	 1.0 	 0.02105745196156956 	 0.9959065495207667
241 2.5587370099583495e-05 	 1.0 	 0.019964534596010962 	 0.996305910543131
242 2.1464217762313637e-05 	 1.0 	 0.02143795684464175 	 0.9961062300319489
243 1.602500273278565e-05 	 1.0 	 0.019643959435264684 	 0.9964057507987221
244 1.8692814568912583e-05 	 1.0 	 0.019925888129851358 	 0.996305910543131
245 4.137006503748125e-05 	 1.0 	 0.022905746249596532 	 0.9953075079872205
246 2.1265659600903746e-05 	 1.0 	 0.02198025638671597 	 0.9957068690095847
247 0.00042111169352258 	 0.99984 	 0.0210386169075603 	 0.9962060702875399
248 0.00013329677755038574 	 0.99996 	 0.020552388890280146 	 0.9964057507987221
249 5.2970021378096134e-05 	 1.0 	 0.02175657788392456 	 0.9964057507987221
250 0.0008958057608587842 	 0.99974 	 0.03174223981900047 	 0.9929113418530351
251 0.0004106744037667886 	 0.99988 	 0.021620925048972468 	 0.9959065495207667
252 0.00011446001582087774 	 0.99998 	 0.022077890091043283 	 0.996305910543131
253 0.00016307881898494089 	 0.99998 	 0.021394546880501207 	 0.9959065495207667
254 2.9708172107966677e-05 	 1.0 	 0.021019463729288736 	 0.9962060702875399
255 3.672930688349879e-05 	 1.0 	 0.021956056046990826 	 0.9960063897763578
256 2.3658349971574354e-05 	 1.0 	 0.021741188479921267 	 0.9961062300319489
257 1.9225626577845106e-05 	 1.0 	 0.021788806605866174 	 0.9960063897763578
258 1.9953861394205887e-05 	 1.0 	 0.02153363241305174 	 0.9962060702875399
259 1.8604774058258046e-05 	 1.0 	 0.021546932275605026 	 0.9961062300319489
260 2.0258948227092333e-05 	 1.0 	 0.02173946846987812 	 0.9959065495207667
261 1.9216409783930432e-05 	 1.0 	 0.022518514013575932 	 0.9961062300319489
262 1.4292917593593301e-05 	 1.0 	 0.022023848790537048 	 0.9956070287539937
263 1.5615074238157832e-05 	 1.0 	 0.021458842535641193 	 0.996305910543131
264 1.2896375726322732e-05 	 1.0 	 0.021603735918314722 	 0.9961062300319489
265 1.4398470062751585e-05 	 1.0 	 0.021558804830939412 	 0.9964057507987221
266 1.1797625894332668e-05 	 1.0 	 0.02178149971913341 	 0.9960063897763578
267 1.322358056784651e-05 	 1.0 	 0.02123625139685814 	 0.996305910543131
268 1.241329358996154e-05 	 1.0 	 0.0216923091778975 	 0.996305910543131
269 4.573405017288678e-05 	 0.99998 	 0.02195654965167998 	 0.9962060702875399
270 2.6191746106851496e-05 	 1.0 	 0.020789791317579742 	 0.9967052715654952
271 0.00018375084513165348 	 0.99996 	 0.023848084026311542 	 0.9953075079872205
272 4.21103541431512e-05 	 1.0 	 0.020530826010110522 	 0.9964057507987221
273 2.448467587433697e-05 	 1.0 	 0.020702026987137086 	 0.9961062300319489
274 1.4084922719503084e-05 	 1.0 	 0.020294930022388483 	 0.996305910543131
275 1.4652583913448324e-05 	 1.0 	 0.021108423379335946 	 0.9962060702875399
276 1.4268306353260413e-05 	 1.0 	 0.020801274311231452 	 0.9958067092651757
277 1.1594714493949141e-05 	 1.0 	 0.021252631184710227 	 0.9961062300319489
278 1.2176409289349977e-05 	 1.0 	 0.020774123059599692 	 0.9961062300319489
279 2.5273170865712018e-05 	 1.0 	 0.0206104383850613 	 0.9964057507987221
280 1.9015998621562175e-05 	 1.0 	 0.022388680343344725 	 0.9960063897763578
281 1.1589998235249368e-05 	 1.0 	 0.022561095236335368 	 0.9960063897763578
282 1.1730008048780292e-05 	 1.0 	 0.021709958231138925 	 0.9961062300319489
283 9.380356715573726e-06 	 1.0 	 0.022430632384559335 	 0.9959065495207667
284 1.0734912610278115e-05 	 1.0 	 0.022473204763243007 	 0.9962060702875399
285 9.572420282711391e-06 	 1.0 	 0.021109793614828842 	 0.996305910543131
286 1.1848702856696036e-05 	 1.0 	 0.020351404234299215 	 0.9965055910543131
287 9.487161291490339e-06 	 1.0 	 0.021169951108465347 	 0.9965055910543131
288 9.343088813602662e-06 	 1.0 	 0.02080773072720757 	 0.9965055910543131
289 1.3398568471338876e-05 	 1.0 	 0.020391381311159917 	 0.9966054313099042
290 8.166244685644414e-06 	 1.0 	 0.020356274136327065 	 0.9964057507987221
291 9.652107986748888e-06 	 1.0 	 0.02050166594660839 	 0.9964057507987221
292 8.182752470102059e-06 	 1.0 	 0.021335760309238033 	 0.996305910543131
293 8.112256280437577e-06 	 1.0 	 0.02180163151814295 	 0.9965055910543131
294 9.296783728577792e-06 	 1.0 	 0.02116137836371992 	 0.996305910543131
295 7.081921729550231e-06 	 1.0 	 0.02249330199556142 	 0.9962060702875399
296 8.214313423050044e-06 	 1.0 	 0.020981398818296696 	 0.9966054313099042
297 9.2569111011926e-06 	 1.0 	 0.02150417656620424 	 0.9964057507987221
298 9.522542814675034e-06 	 1.0 	 0.02238521513425375 	 0.996305910543131
299 7.109362700721249e-06 	 1.0 	 0.02125732364944557 	 0.9964057507987221
300 2.0083193188165752e-05 	 1.0 	 0.0244361990144 	 0.9952076677316294
301 3.220591291468736e-05 	 0.99998 	 0.021727081494678842 	 0.9964057507987221
302 1.4307639860189737e-05 	 1.0 	 0.02009138547789669 	 0.9969049520766773
303 3.1395767253234226e-05 	 1.0 	 0.025381812165277916 	 0.996305910543131
304 1.6958937389426866e-05 	 1.0 	 0.02276245061319204 	 0.9962060702875399
305 9.847466086675921e-06 	 1.0 	 0.02243699152615045 	 0.9965055910543131
