33 0.0006481797874394289 	 0.9997802109974424 	 0.020268798940048783 	 0.99580078125
34 0.00027293747177940336 	 0.999940057544757 	 0.01964656415960917 	 0.99619140625
35 7.780723636756484e-05 	 1.0 	 0.0207775537645432 	 0.99619140625
36 8.23776580153003e-05 	 1.0 	 0.019661611811102375 	 0.99638671875
37 7.986505653041981e-05 	 1.0 	 0.020079786216047068 	 0.996484375
38 5.72809197660543e-05 	 1.0 	 0.019891180375333307 	 0.99599609375
39 4.484285286440247e-05 	 1.0 	 0.019297872433219253 	 0.99619140625
40 3.8416672642688123e-05 	 1.0 	 0.019505583650743574 	 0.99638671875
41 3.432925002046657e-05 	 1.0 	 0.019880225835356667 	 0.99609375
42 2.6830978881394805e-05 	 1.0 	 0.01901377339549981 	 0.9962890625
43 3.081929485861599e-05 	 1.0 	 0.020055064149340752 	 0.99619140625
44 2.5666031410822996e-05 	 1.0 	 0.019662264434322195 	 0.99619140625
45 2.9527847451725653e-05 	 1.0 	 0.01976045784929852 	 0.99638671875
46 3.37714805580087e-05 	 1.0 	 0.019883739288911784 	 0.9962890625
47 2.5095347705699824e-05 	 1.0 	 0.019943507218033573 	 0.9962890625
48 2.4655077262897157e-05 	 1.0 	 0.02022288138660997 	 0.99619140625
49 2.7342868382934435e-05 	 1.0 	 0.019168080030732428 	 0.99609375
50 2.7999835376477348e-05 	 1.0 	 0.019333869624506405 	 0.99609375
51 2.589427525578948e-05 	 1.0 	 0.020003697823040057 	 0.99619140625
52 2.031425607149702e-05 	 1.0 	 0.02062007233793679 	 0.99619140625
53 2.3052835251659502e-05 	 1.0 	 0.019473333057209174 	 0.99609375
54 2.286502239469643e-05 	 1.0 	 0.019697532938459973 	 0.99609375
55 2.2206704499131843e-05 	 1.0 	 0.020093676709677766 	 0.99609375
56 2.2218404670462067e-05 	 1.0 	 0.01992917288339413 	 0.99599609375
57 2.1566989514033655e-05 	 1.0 	 0.02011581462866161 	 0.99609375
58 1.962544388857575e-05 	 1.0 	 0.019424105285912673 	 0.9962890625
59 2.0675615217760773e-05 	 1.0 	 0.019597692030617963 	 0.99619140625
60 1.75469209321339e-05 	 1.0 	 0.020023316290507864 	 0.99619140625
61 1.789744842740464e-05 	 1.0 	 0.020835017165506998 	 0.99619140625
62 1.898188238462988e-05 	 1.0 	 0.020061144371817365 	 0.99609375
63 1.8066254898441953e-05 	 1.0 	 0.020614403598870013 	 0.99599609375
64 1.6064991745610816e-05 	 1.0 	 0.02054801980146408 	 0.9962890625
65 1.6210858796772705e-05 	 1.0 	 0.020062135324513973 	 0.996484375
66 1.6871939464218413e-05 	 1.0 	 0.020461316498995075 	 0.99638671875
67 1.4993178084863794e-05 	 1.0 	 0.020619253229679658 	 0.9962890625
68 1.5686235430546876e-05 	 1.0 	 0.020414471031116932 	 0.99638671875
69 1.727141151223407e-05 	 1.0 	 0.020616790088351423 	 0.9962890625
70 1.5663700182789785e-05 	 1.0 	 0.02071887645823267 	 0.99638671875
71 2.0395527927806323e-05 	 1.0 	 0.020661894287954397 	 0.996484375
72 1.4344110995447027e-05 	 1.0 	 0.02070574146796389 	 0.9962890625
73 1.490977009270771e-05 	 1.0 	 0.020532851967055878 	 0.99619140625
74 1.3619374541445267e-05 	 1.0 	 0.020597683334005978 	 0.99619140625
75 1.540249076058857e-05 	 1.0 	 0.02087675536229483 	 0.99638671875
76 1.3291749842896458e-05 	 1.0 	 0.020308967684627532 	 0.996484375
77 1.1920071900247496e-05 	 1.0 	 0.020982717220323365 	 0.99638671875
78 1.1921060969048213e-05 	 1.0 	 0.020259508964448968 	 0.99638671875
79 1.3496827841896224e-05 	 1.0 	 0.02017368859708881 	 0.99638671875
80 1.3364423457251014e-05 	 1.0 	 0.020675606573627194 	 0.99638671875
81 2.405442119767575e-05 	 1.0 	 0.020695199017154664 	 0.996484375
82 1.3721787819003625e-05 	 1.0 	 0.02109712311536214 	 0.99638671875
83 1.2355018380589163e-05 	 1.0 	 0.020921267342660598 	 0.9962890625
84 1.3978523283536733e-05 	 1.0 	 0.021002317342322385 	 0.99638671875
85 1.2415247063756415e-05 	 1.0 	 0.021604319305242824 	 0.9962890625
86 1.2834181739550876e-05 	 1.0 	 0.02112748418550723 	 0.996484375
87 1.202545697529539e-05 	 1.0 	 0.020822530800606386 	 0.9962890625
88 1.1802560252921294e-05 	 1.0 	 0.021649196929797655 	 0.99638671875
89 1.1816117712162935e-05 	 1.0 	 0.02129962226663622 	 0.9962890625
90 1.1209713337164505e-05 	 1.0 	 0.021292275272904247 	 0.99638671875
91 1.057902270769908e-05 	 1.0 	 0.020524085153260783 	 0.99638671875
92 1.0198637778674199e-05 	 1.0 	 0.02101075133885786 	 0.99619140625
93 9.664946394382462e-06 	 1.0 	 0.021155214441330374 	 0.99609375
94 1.3188798968486153e-05 	 1.0 	 0.02117855336090315 	 0.99609375
95 1.2688069446108397e-05 	 1.0 	 0.020860816044876173 	 0.99609375
96 1.0978150659385018e-05 	 1.0 	 0.021616192738116526 	 0.99619140625
97 1.156483577179803e-05 	 1.0 	 0.02209972255408559 	 0.99609375
98 1.0925138312790682e-05 	 1.0 	 0.02156896942131823 	 0.99599609375
99 1.1020301435285632e-05 	 1.0 	 0.021260363408782724 	 0.99609375
100 9.39566344063178e-06 	 1.0 	 0.02192342530707094 	 0.99599609375
101 1.0905403277973774e-05 	 1.0 	 0.02101203011640962 	 0.9962890625
102 8.866262585093012e-06 	 1.0 	 0.020435993223713922 	 0.99638671875
103 1.0694420839079337e-05 	 1.0 	 0.020931684540491345 	 0.9962890625
104 9.708211902291965e-06 	 1.0 	 0.020889209652833075 	 0.99619140625
105 8.388503870915986e-06 	 1.0 	 0.02094624821423281 	 0.9962890625
106 1.4426564185643535e-05 	 1.0 	 0.021598446966143568 	 0.99599609375
107 9.365051996808134e-06 	 1.0 	 0.02105985959132397 	 0.9962890625
108 1.0632424426478948e-05 	 1.0 	 0.02140100464381476 	 0.99638671875
109 9.45650233891816e-06 	 1.0 	 0.021409155207703635 	 0.99609375
110 9.359855629068509e-06 	 1.0 	 0.02131606647488695 	 0.99619140625
111 1.0381166958732348e-05 	 1.0 	 0.02118061701606564 	 0.99619140625
112 8.519005286184914e-06 	 1.0 	 0.021075376496892773 	 0.99638671875
113 8.454270985164425e-06 	 1.0 	 0.021553463387755302 	 0.99638671875
114 8.199525012087807e-06 	 1.0 	 0.021779089688703835 	 0.99619140625
115 8.458329435758488e-06 	 1.0 	 0.021242862533540574 	 0.99619140625
116 8.993522176279674e-06 	 1.0 	 0.021443022676251644 	 0.9962890625
117 8.07594313747403e-06 	 1.0 	 0.02120235346451125 	 0.99638671875
118 7.759339306104008e-06 	 1.0 	 0.020897844747324257 	 0.99619140625
119 8.650438916659128e-06 	 1.0 	 0.021480980138173324 	 0.99609375
120 7.94327914966178e-06 	 1.0 	 0.021586307588921726 	 0.99609375
121 8.38849188640428e-06 	 1.0 	 0.020770060359930655 	 0.99599609375
122 8.406979976944454e-06 	 1.0 	 0.020994917105909394 	 0.99609375
123 7.538349396942495e-06 	 1.0 	 0.020962495466682184 	 0.9962890625
124 8.349216949033185e-06 	 1.0 	 0.020739868332373134 	 0.99619140625
125 7.326780323788844e-06 	 1.0 	 0.021424986870178485 	 0.99619140625
126 6.9585647542902956e-06 	 1.0 	 0.02152079269645526 	 0.99609375
127 7.594108924620188e-06 	 1.0 	 0.02121399232292731 	 0.99619140625
128 6.490997627813212e-06 	 1.0 	 0.021068943437984444 	 0.99619140625
129 7.356262028941022e-06 	 1.0 	 0.021258458850573446 	 0.9962890625
130 7.190015804388544e-06 	 1.0 	 0.021204847660635552 	 0.9962890625
131 9.26226614305879e-06 	 1.0 	 0.021300967053511498 	 0.9962890625
132 7.542241558584071e-06 	 1.0 	 0.021128025812708985 	 0.9962890625
133 6.840404018651584e-06 	 1.0 	 0.02118551631582477 	 0.99619140625
134 8.2715789069873e-06 	 1.0 	 0.021097533640408984 	 0.99609375
135 6.904554179981206e-06 	 1.0 	 0.021210080245104734 	 0.99599609375
136 6.408784043530671e-06 	 1.0 	 0.02199639842143313 	 0.99619140625
137 6.902469998437745e-06 	 1.0 	 0.0216330916310028 	 0.99619140625
138 8.21084318692051e-06 	 1.0 	 0.02165562660510716 	 0.99599609375
139 5.933586011104967e-06 	 1.0 	 0.02127888987287463 	 0.99619140625
140 7.048132027745067e-06 	 1.0 	 0.02152475320144731 	 0.996484375
141 7.099797210899209e-06 	 1.0 	 0.02149639197601232 	 0.9962890625
142 7.132928555609843e-06 	 1.0 	 0.021292786768731274 	 0.99599609375
143 6.688928597050991e-06 	 1.0 	 0.020655734443998597 	 0.9962890625
144 6.377998553008972e-06 	 1.0 	 0.021635987684189218 	 0.9962890625
145 7.544507286231628e-06 	 1.0 	 0.020649885714706783 	 0.99619140625
146 5.833157693521343e-06 	 1.0 	 0.021836556814321284 	 0.9962890625
147 6.693210954744224e-06 	 1.0 	 0.02087875543292341 	 0.9962890625
148 6.0272913310596835e-06 	 1.0 	 0.021388440994654444 	 0.99609375
149 6.65367139788341e-06 	 1.0 	 0.021159739730734373 	 0.9962890625
150 6.616414962756324e-06 	 1.0 	 0.02068491104374459 	 0.9962890625
151 5.799647727300322e-06 	 1.0 	 0.021192011819566405 	 0.99619140625
152 5.745076543858942e-06 	 1.0 	 0.0210019592104743 	 0.99638671875
153 6.175692612738398e-06 	 1.0 	 0.021361480115848507 	 0.99638671875
154 5.700260208063892e-06 	 1.0 	 0.021076894290057168 	 0.9962890625
155 6.237514396686243e-06 	 1.0 	 0.021647839037197514 	 0.996484375
156 6.290892185404428e-06 	 1.0 	 0.021413848050349314 	 0.99638671875
157 5.778155450152228e-06 	 1.0 	 0.0208722900250919 	 0.9962890625
158 5.662431616885368e-06 	 1.0 	 0.022072259769392134 	 0.99619140625
159 6.337378196607358e-06 	 1.0 	 0.021011172795780908 	 0.99638671875
160 5.612367246608196e-06 	 1.0 	 0.021244438858323632 	 0.99619140625
161 6.158628106599481e-06 	 1.0 	 0.02209692294950827 	 0.99609375
162 5.330505832263297e-06 	 1.0 	 0.021160196496663276 	 0.99619140625
163 5.780197304574058e-06 	 1.0 	 0.02113982135040402 	 0.99619140625
164 5.727378868763146e-06 	 1.0 	 0.02207646093698088 	 0.99619140625
165 6.105639949278634e-06 	 1.0 	 0.02138703220389999 	 0.99638671875
166 6.822056663548354e-06 	 1.0 	 0.020895440428931523 	 0.99638671875
167 6.872401473376618e-06 	 1.0 	 0.021664300428606963 	 0.9962890625
168 5.311909976486774e-06 	 1.0 	 0.02132943057453076 	 0.9962890625
169 6.554963774493337e-06 	 1.0 	 0.021254554024307027 	 0.9962890625
170 6.242759377033982e-06 	 1.0 	 0.021472241687955317 	 0.9962890625
171 5.803874711362327e-06 	 1.0 	 0.021010600527156954 	 0.99638671875
172 6.169378043942159e-06 	 1.0 	 0.02179855725674997 	 0.99619140625
173 5.059953928854561e-06 	 1.0 	 0.021216784952025593 	 0.99609375
174 5.172989491609286e-06 	 1.0 	 0.02089933926978489 	 0.99638671875
175 5.376575366710331e-06 	 1.0 	 0.02097950225134042 	 0.99609375
176 5.674542430016348e-06 	 1.0 	 0.020730968583960417 	 0.99638671875
177 4.970156989088246e-06 	 1.0 	 0.021114469164128024 	 0.9962890625
178 4.845463470473406e-06 	 1.0 	 0.021062335187093596 	 0.9962890625
179 4.914973804539501e-06 	 1.0 	 0.021672623662675507 	 0.9962890625
180 5.111622624234167e-06 	 1.0 	 0.021378132144323558 	 0.99638671875
181 5.274874548572219e-06 	 1.0 	 0.021282826501899877 	 0.9962890625
182 5.249667708394694e-06 	 1.0 	 0.021301866562313875 	 0.9962890625
183 5.007816262185191e-06 	 1.0 	 0.021222070562595265 	 0.99619140625
184 5.327082685089222e-06 	 1.0 	 0.021768609161016174 	 0.99609375
185 4.729430228737254e-06 	 1.0 	 0.02131398311857282 	 0.99638671875
186 5.317661783805925e-06 	 1.0 	 0.022192922191302956 	 0.99619140625
187 5.141488149961554e-06 	 1.0 	 0.021706044366310094 	 0.99638671875
188 5.015583536077175e-06 	 1.0 	 0.021240525472455828 	 0.99638671875
189 4.761141281458159e-06 	 1.0 	 0.02180389752370644 	 0.99638671875
190 4.7718271724049145e-06 	 1.0 	 0.02198336010510644 	 0.99619140625
191 5.7016941370951025e-06 	 1.0 	 0.021344847657782395 	 0.9962890625
192 5.09114036275933e-06 	 1.0 	 0.021978662584793085 	 0.99619140625
193 5.1510089398151276e-06 	 1.0 	 0.021382441198353773 	 0.9962890625
194 4.811722704416194e-06 	 1.0 	 0.021185813200969506 	 0.9962890625
195 4.647729315976317e-06 	 1.0 	 0.021964131111685957 	 0.99609375
196 4.58568386524176e-06 	 1.0 	 0.02219138729660841 	 0.99619140625
197 4.519858282666806e-06 	 1.0 	 0.02135929534854881 	 0.9962890625
198 4.662209074953832e-06 	 1.0 	 0.021395786873310386 	 0.9962890625
199 4.736752829211514e-06 	 1.0 	 0.021797150174887748 	 0.99599609375
200 5.0917492819648114e-06 	 1.0 	 0.021540561959692183 	 0.99609375
201 4.6599943205881365e-06 	 1.0 	 0.021457354995213507 	 0.9962890625
202 4.098409127190189e-06 	 1.0 	 0.02159529968391638 	 0.99619140625
203 3.948888890952456e-06 	 1.0 	 0.021537722163877504 	 0.9962890625
204 4.395827643508321e-06 	 1.0 	 0.021815362357662592 	 0.99599609375
205 4.164054377725987e-06 	 1.0 	 0.021654974646490643 	 0.9962890625
206 4.954329023135856e-06 	 1.0 	 0.021962521270984324 	 0.99619140625
207 4.547148928290799e-06 	 1.0 	 0.021623552056658467 	 0.99609375
208 4.532608044320181e-06 	 1.0 	 0.022292183414529633 	 0.9958984375
209 4.259537596270632e-06 	 1.0 	 0.02150939336997908 	 0.99619140625
210 5.029210065306398e-06 	 1.0 	 0.022502055132345333 	 0.99609375
211 4.821638659977256e-06 	 1.0 	 0.021331645224097428 	 0.9962890625
212 4.572326957723117e-06 	 1.0 	 0.021777219538932968 	 0.996484375
213 4.44435360131675e-06 	 1.0 	 0.022118755897096776 	 0.99609375
214 3.9837167126702726e-06 	 1.0 	 0.021768055397579644 	 0.9962890625
215 4.280710816251567e-06 	 1.0 	 0.02177428012668372 	 0.99619140625
216 4.7131992067456235e-06 	 1.0 	 0.02216342416257362 	 0.99619140625
217 4.261061219128521e-06 	 1.0 	 0.02207575826283801 	 0.99619140625
218 3.676429438419663e-06 	 1.0 	 0.022041387998031327 	 0.99619140625
219 3.723886012474051e-06 	 1.0 	 0.022177204525354453 	 0.99638671875
220 4.240688285284463e-06 	 1.0 	 0.02235866835542879 	 0.99599609375
221 3.906702638943289e-06 	 1.0 	 0.022107432001547522 	 0.9962890625
222 3.863609411805986e-06 	 1.0 	 0.022114848382305752 	 0.996484375
223 4.025810936638101e-06 	 1.0 	 0.021980029545005664 	 0.99609375
224 3.949360995172339e-06 	 1.0 	 0.021708482731855838 	 0.99619140625
225 5.562413385897853e-06 	 1.0 	 0.022811999876759616 	 0.99619140625
226 3.6266426804967386e-06 	 1.0 	 0.021982034450392974 	 0.99609375
227 3.909526805932787e-06 	 1.0 	 0.022034122152369662 	 0.9962890625
228 4.4653032328705704e-06 	 1.0 	 0.022084349523201752 	 0.99609375
229 4.7048371060185085e-06 	 1.0 	 0.022465056039189336 	 0.9962890625
230 3.995696830133268e-06 	 1.0 	 0.02254170836366427 	 0.99609375
231 4.353344186483228e-06 	 1.0 	 0.021847673286377756 	 0.99619140625
232 4.066985403849806e-06 	 1.0 	 0.02190694470608747 	 0.996484375
233 4.0780677530739665e-06 	 1.0 	 0.02242524857719843 	 0.99609375
234 4.119393600997559e-06 	 1.0 	 0.022367789728872368 	 0.99619140625
235 4.3446856593932595e-06 	 1.0 	 0.022179356862457665 	 0.99619140625
236 3.740905500951304e-06 	 1.0 	 0.022172060434382957 	 0.9962890625
237 3.6806961808913614e-06 	 1.0 	 0.023286321556112453 	 0.99619140625
238 3.978491144132005e-06 	 1.0 	 0.02168952375962476 	 0.9962890625
239 3.849475822271113e-06 	 1.0 	 0.02188588647582037 	 0.9962890625
240 3.4980085918905295e-06 	 1.0 	 0.021839561870437764 	 0.99638671875
241 3.814168128556653e-06 	 1.0 	 0.022264760823686912 	 0.99619140625
242 3.615879467526234e-06 	 1.0 	 0.021370124954547976 	 0.99619140625
243 3.7308242777293612e-06 	 1.0 	 0.022553685523151047 	 0.9962890625
244 3.6146217632700624e-06 	 1.0 	 0.022618776219469793 	 0.9962890625
245 3.847827464308342e-06 	 1.0 	 0.021550208678827686 	 0.9962890625
246 3.7179119139498495e-06 	 1.0 	 0.022294325110918577 	 0.99619140625
247 3.614159057549776e-06 	 1.0 	 0.022062475632861834 	 0.99658203125
248 4.223126110652031e-06 	 1.0 	 0.022065504428420014 	 0.99609375
249 3.4062369841520246e-06 	 1.0 	 0.021718288617189784 	 0.99619140625
250 3.9368785969030254e-06 	 1.0 	 0.02254160960585807 	 0.99609375
251 3.906275458033717e-06 	 1.0 	 0.022078601192123414 	 0.99609375
252 3.880621372964317e-06 	 1.0 	 0.022904350763973014 	 0.9962890625
253 3.5350596088582932e-06 	 1.0 	 0.021702766997150034 	 0.99609375
254 3.4173561253153873e-06 	 1.0 	 0.022957215005919806 	 0.99609375
255 3.2088959388227737e-06 	 1.0 	 0.021877116355081227 	 0.99638671875
256 3.4465046185622113e-06 	 1.0 	 0.022186298346578325 	 0.9962890625
257 3.399876730837951e-06 	 1.0 	 0.02184035965512976 	 0.99638671875
258 3.3059461745784934e-06 	 1.0 	 0.021961708836246884 	 0.99619140625
259 4.0059973834688156e-06 	 1.0 	 0.021664840984784918 	 0.99609375
260 4.155460097946531e-06 	 1.0 	 0.022444682788218984 	 0.99609375
261 3.730319523434734e-06 	 1.0 	 0.022047850905467216 	 0.99638671875
262 3.65712019337505e-06 	 1.0 	 0.021890976614064073 	 0.99619140625
263 3.6322825545467563e-06 	 1.0 	 0.022629974520559416 	 0.99609375
264 4.0363502712945935e-06 	 1.0 	 0.022330850600322805 	 0.99619140625
265 3.5067663178700097e-06 	 1.0 	 0.022833773601946918 	 0.99619140625
266 3.736713422819108e-06 	 1.0 	 0.02205170720613623 	 0.9962890625
267 3.539766435114126e-06 	 1.0 	 0.02277233916546493 	 0.99619140625
268 4.511057674361048e-06 	 1.0 	 0.022216119231894992 	 0.99609375
269 3.2203915613636104e-06 	 1.0 	 0.02231249353172444 	 0.9962890625
270 3.117506657520763e-06 	 1.0 	 0.02232282513630679 	 0.99619140625
271 3.5874373517445977e-06 	 1.0 	 0.02236596363615746 	 0.9962890625
272 3.630402314106004e-06 	 1.0 	 0.02235860727295602 	 0.9962890625
273 3.1361454172124314e-06 	 1.0 	 0.022195325716218406 	 0.99619140625
274 3.464225286312108e-06 	 1.0 	 0.022109177110355916 	 0.9962890625
275 3.56679805618184e-06 	 1.0 	 0.023068099027101142 	 0.99609375
276 3.1149187854978088e-06 	 1.0 	 0.02228111313650345 	 0.9962890625
277 3.12791658442704e-06 	 1.0 	 0.023241831177351457 	 0.99619140625
278 3.2993624011657127e-06 	 1.0 	 0.022123261659524475 	 0.9962890625
279 3.1324246950313802e-06 	 1.0 	 0.02287879577209253 	 0.99609375
280 3.2241857763427553e-06 	 1.0 	 0.02271943485853285 	 0.99619140625
281 3.372636492823843e-06 	 1.0 	 0.02255801775215218 	 0.99638671875
282 3.157912808657314e-06 	 1.0 	 0.02213813835872571 	 0.9962890625
283 3.2478013494851192e-06 	 1.0 	 0.02250360771505342 	 0.9962890625
284 3.183498964678138e-06 	 1.0 	 0.02233664442907184 	 0.99619140625
285 3.3549192601028487e-06 	 1.0 	 0.022283623819738807 	 0.9962890625
286 3.1036318123230148e-06 	 1.0 	 0.02280155641774968 	 0.9962890625
287 3.095648470926136e-06 	 1.0 	 0.022340242413527278 	 0.9962890625
288 3.3174381369701357e-06 	 1.0 	 0.02321462033791164 	 0.99619140625
289 3.6128958512577217e-06 	 1.0 	 0.022136999186546547 	 0.99609375
290 3.0209638387595127e-06 	 1.0 	 0.022353495109553024 	 0.99609375
291 3.441434742258269e-06 	 1.0 	 0.02153330653333114 	 0.99638671875
292 2.865768103494511e-06 	 1.0 	 0.0226215343332413 	 0.9962890625
293 3.4986434193377467e-06 	 1.0 	 0.022418596213212537 	 0.9962890625
294 3.2211367045866653e-06 	 1.0 	 0.021950902350828017 	 0.99619140625
295 2.9357124703555343e-06 	 1.0 	 0.021678246972018655 	 0.9962890625
296 2.981519966745502e-06 	 1.0 	 0.022845053594184605 	 0.99638671875
297 3.214976655829134e-06 	 1.0 	 0.022286001608154037 	 0.99619140625
298 2.8582901092502193e-06 	 1.0 	 0.022657371608994482 	 0.9962890625
299 3.3416696763027446e-06 	 1.0 	 0.022549500431594538 	 0.99638671875
300 3.5744732223644705e-06 	 1.0 	 0.02213718273139591 	 0.9962890625
301 2.973573075791174e-06 	 1.0 	 0.02199560567736327 	 0.9962890625
302 3.090534295426453e-06 	 1.0 	 0.021717933327025207 	 0.99619140625
303 3.2990763236488222e-06 	 1.0 	 0.022301791017836338 	 0.99619140625
304 2.948007542446409e-06 	 1.0 	 0.022472804989540407 	 0.99609375
305 3.0339142645869967e-06 	 1.0 	 0.022214325478029196 	 0.9962890625
306 3.493454204273845e-06 	 1.0 	 0.022358529798478344 	 0.99599609375
307 3.073573952599214e-06 	 1.0 	 0.02192493772520976 	 0.99619140625
308 2.8372930234001516e-06 	 1.0 	 0.02241949534648171 	 0.9962890625
309 2.9917474145741786e-06 	 1.0 	 0.02189206956379337 	 0.99619140625
310 3.2395493405038973e-06 	 1.0 	 0.022517009346930194 	 0.99638671875
311 2.6841795843234265e-06 	 1.0 	 0.021921438124175553 	 0.99609375
312 3.86083182952473e-06 	 1.0 	 0.02182358417146446 	 0.99609375
313 3.0957907646141934e-06 	 1.0 	 0.022703427018356592 	 0.9958984375
314 2.8549909638863854e-06 	 1.0 	 0.02252303316588211 	 0.99609375
315 2.8799214758475634e-06 	 1.0 	 0.022900229843928345 	 0.99619140625
316 4.308416942781279e-06 	 1.0 	 0.022637159404116147 	 0.9962890625
317 3.154857241559307e-06 	 1.0 	 0.02203655347894795 	 0.99609375
318 2.9269909185973877e-06 	 1.0 	 0.022460237358893666 	 0.99609375
319 3.260027477196377e-06 	 1.0 	 0.023182548616635757 	 0.99619140625
